exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42558.625000,0.990336734,4101105,50875949,1280362250,104014,194963,1413865,2061237,289228737,57090380,53577831,112831596,0,1073,0,0,21068,861762367,3834575046,6912873175,105835,102035,0
membench,1,dram,pgn,0,10101.622070,1.060369831,3326753,51716183,1259364781,1595570,1538447,1492175,2097409,285701879,249820119,53587726,110355981,0,1059,0,0,26343,869384946,4114542222,6812826692,1397594,1546698,0
membench,1,dram,rnd,0,9772.400391,1.064722177,3268069,50062971,1255023410,1705426,1666606,1488003,2114518,280453357,244147065,53793540,108623372,0,1069,0,0,26784,881305505,4127704240,6857840662,1360700,1504604,0
membench,1,dram,seq_prefetch,0,39516.320312,0.988626277,3992247,50163685,1279774335,101803,337687,1400067,2057936,208697400,40597406,53764598,114123866,0,1094,0,0,28324,859303300,3837115514,6911857147,97812,97056,0
membench,1,dram,pgn_prefetch,0,20252.753906,1.010070746,3308382,51323534,1268256831,107012,200175,1425252,2028203,209289463,173415383,51986132,107346440,661591,1106,6875,0,31290,874453723,3920292286,6925325101,104368,102398,0
membench,1,dram,rnd_prefetch,0,18185.787109,1.017773096,3143735,51865331,1278573191,106330,197510,1453194,2029416,202792333,168417951,51615371,104358231,1199799,1079,6592,0,39343,885827948,3942342276,7024120153,105810,104735,0
membench,1,pmem,seq,0,28278.943359,1.172884126,3664725,51502062,1271702923,105846,208794,12051,2048473,335981364,94412874,54339454,112013300,0,1092,0,0,34362,867040331,4550873879,6887852499,100231,96568,252
membench,1,pmem,pgn,0,2396.633057,1.561066345,2975335,51459152,1268482428,107362,1214791,10291,2101698,1597092927,1538714098,52644311,110921540,0,1018,0,0,42247,881299705,6053864116,6971691725,1505068,97624,1035655
membench,1,pmem,rnd,0,2372.895752,1.566387987,3067456,51667902,1272009208,110027,1204951,11154,2137142,1582769576,1548674521,52563857,110402428,0,1016,0,0,17081,867922709,6080949238,6962055901,1460432,491037,989834
membench,1,pmem,seq_prefetch,0,28009.634766,1.179894461,3698207,51434718,1272121524,100709,202726,9839,2062615,120414292,98443894,53229003,110239319,307191,1069,0,0,17970,859343536,4577295026,6981443563,101432,100864,140
membench,1,pmem,pgn_prefetch,0,4484.526367,1.360507889,3080690,50891943,1262884619,100790,209488,10017,2099859,903812760,867293596,51789096,109974892,918645,1085,5369,0,32432,890829897,5283243268,7012143427,100203,96280,566
membench,1,pmem,rnd_prefetch,0,4350.871582,1.366857561,3018212,51563697,1268596710,107504,206436,12440,2104406,891148618,854177383,51794826,108624438,972814,1098,5261,0,39180,892203783,5306582790,6962207194,104464,98297,13
membench,1,dram,seq,500,43544.523438,1.115274858,3001943,51985449,1274694524,108163,208324,1475582,2052251,47282548,12687319,52230291,108636621,0,1028,0,0,876989,1298664874,4328729216,8772360494,105606,102870,0
membench,1,dram,pgn,500,10015.223633,1.193224592,2995005,51796410,1266589252,1141567,1240499,1486870,2037770,371672453,336338424,51852135,107225380,0,1056,6564,0,798397,1289023800,4628110721,8837530041,1080724,1154489,0
membench,1,dram,rnd,500,9549.091797,1.202475646,2953245,50939178,1273063918,1126902,1227600,1394893,1975986,372021494,336959181,52305381,111079461,0,986,0,0,937010,1306140610,4661422826,8838400830,994933,1065062,0
membench,1,dram,seq_prefetch,500,40453.074219,1.117907476,3027660,52394378,1272323261,103757,210057,1545485,2098976,46386671,13213992,51320156,107799886,1003175,1041,0,0,996972,1307147390,4338841061,8784799705,531466,290898,0
membench,1,dram,pgn_prefetch,500,39093.042969,1.121949138,2965850,52004347,1269722173,109092,201202,1431967,2048557,69041735,31672038,52639961,106768615,1002096,1045,0,0,1027986,1326178649,4350407391,8809127447,532843,533292,0
membench,1,dram,rnd_prefetch,500,27834.220703,1.136153920,4238998,52665615,1289502488,112389,208006,1421872,2022782,67411151,30397488,53160497,111166911,947694,1015,0,0,962049,1339441926,4408147049,9023771387,103498,529824,0
membench,1,pmem,seq,500,42821.050781,1.299927553,3027474,51506939,1278518235,104783,213023,12752,2120158,49928519,14804278,52369558,108123704,0,1001,0,0,1035803,1357238710,5047226225,8749082927,505187,504784,787
membench,1,pmem,pgn,500,2377.075439,1.694175666,2969879,50579960,1240870573,102841,1468488,17029,2168032,1649534760,1500497677,53833735,113344200,0,1063,0,0,970562,1361215869,6578746936,8901290780,1120778,95939,1080175
membench,1,pmem,rnd,500,2358.251465,1.694770037,2968031,50673302,1240286647,104758,1241243,18527,2113823,1777496306,1538837932,54449054,112080012,0,1069,0,0,976675,1369115321,6582800329,8939387678,1109642,93815,1071118
membench,1,pmem,seq_prefetch,500,37923.320312,1.299716483,3035021,51866897,1277447093,105422,211762,13811,2105781,57613575,20059765,52548576,110848180,999396,1017,0,0,1113355,1351817947,5046082942,8837213958,523492,523886,147
membench,1,pmem,pgn_prefetch,500,6298.934570,1.429404007,3075000,50387403,1244535894,97997,203423,16544,2114274,807214622,553738724,54377428,113748730,878666,1065,0,0,903452,1326780972,5551524705,8917987148,98459,92796,446
membench,1,pmem,rnd_prefetch,500,6068.071777,1.439682127,3028657,50595880,1249454821,103807,202411,12639,2080104,799370251,616782132,54080362,112481241,862694,1078,0,0,886186,1324858944,5589596982,8931722598,102066,98340,179
membench,1,dram,seq,1000,43590.078125,1.246781667,3009357,50114047,1242278101,650034,762480,1555464,2123415,48095900,13153265,53184860,116423546,0,1056,0,0,921981,1783924883,4837253901,10955005493,99911,97154,0
membench,1,dram,pgn,1000,9868.550781,1.321302875,4154050,52846926,1282676582,1417146,1144741,1497291,2094469,346716940,310403054,53757330,109629623,0,1067,0,0,996177,1879429168,5119529431,11050312124,1217152,1240012,0
membench,1,dram,rnd,1000,9640.598633,1.322984118,3927428,52461948,1277053868,1658152,1239008,1526725,2099459,340060952,305467393,53388113,108723711,0,1057,0,0,974925,1867901355,5130422353,11047182607,1199372,1234249,0
membench,1,dram,seq_prefetch,1000,40252.785156,1.245233374,3007594,49682850,1233943164,602123,716788,1482896,2112473,49630533,13139954,54226451,110053097,889182,1077,0,0,916483,1809917051,4833055310,10993634962,101073,98891,0
membench,1,dram,pgn_prefetch,1000,44367.542969,1.248683778,3027382,48978665,1241636419,103315,722736,1385901,2008241,53871561,18785070,54393974,113484870,890914,1024,0,0,914259,1771860699,4836645680,10898792263,100075,98037,0
membench,1,dram,rnd_prefetch,1000,31102.263672,1.248738138,2956128,50126214,1253035487,563515,733383,1464767,2115139,55139718,18427750,54607543,113080094,870051,1080,0,0,999174,1901504883,4841897801,11203699087,100761,100157,0
membench,1,pmem,seq,1000,43540.734375,1.424480933,3084299,50610664,1234929096,571774,791545,14700,2167799,54395386,14996485,53059934,112358299,0,1067,0,0,923409,1787917907,5530165546,10944133791,103581,95006,204
membench,1,pmem,pgn,1000,2392.350342,1.825350837,2975869,51262476,1268657398,106811,1209987,12485,2111244,1597647060,1561885003,52535191,110385901,0,1012,0,0,1008401,1834418785,7069841100,10872642902,1378548,99165,1016468
membench,1,pmem,rnd,1000,2373.515381,1.824681590,2968972,51465777,1265789859,104856,1202185,13211,2120629,1596125357,1559071857,52447672,110545884,0,1026,0,0,1018969,1849149644,7087791514,10933993638,1506960,540240,999597
membench,1,pmem,seq_prefetch,1000,39001.562500,1.430087305,3076550,50019515,1240100172,103215,202652,15388,2123235,302234521,63151102,53865636,114010411,890915,1071,0,0,908146,1768111727,5548185244,10817569862,102460,95960,142
membench,1,pmem,pgn_prefetch,1000,10993.601562,1.492659196,4236901,53774019,1282259171,108115,213980,13347,2144715,325394313,286901814,52788314,110466882,957913,1052,0,0,986433,1842815418,5796515036,11010177453,100719,415166,757
membench,1,pmem,rnd_prefetch,1000,10286.478516,1.495736856,4205150,52680910,1287931789,427763,219999,11145,2162072,325572902,287949013,53399839,112462145,944732,1044,0,0,973784,1848447640,5808792215,11101636595,99800,97678,351
membench,1,dram,seq,1500,43687.199219,1.381942703,2949973,50971698,1261036967,109441,205792,1468599,2033554,50016352,14306108,51979589,111289060,0,1014,0,0,977640,2244733446,5362472728,12632325901,107184,104448,0
membench,1,dram,pgn,1500,9815.179688,1.457044020,2907408,50223054,1260839044,1107513,1217525,1384515,1988667,373884934,337804591,52476338,109630710,0,1117,7001,0,928855,2253680618,5653051207,12844852323,1089899,1123656,0
membench,1,dram,rnd,1500,9522.540039,1.453347367,2938148,51139853,1268378942,1102917,1213168,1472269,2046261,365659460,331846799,51981713,106398871,0,1112,6645,0,926479,2301359836,5636095923,12940593989,1116399,1149573,0
membench,1,dram,seq_prefetch,1500,40911.507812,1.381004555,2956996,51632399,1268239497,105932,201319,1453154,2022731,48417797,12828084,52408183,108590693,1006393,1024,0,0,1002253,2278925329,5353977260,12649194086,532861,103170,0
membench,1,dram,pgn_prefetch,1500,47107.593750,1.376018483,2942926,51155058,1263449119,105861,204682,1445307,2021243,48463980,12875297,52067304,108622872,1012266,1036,0,0,962265,2231596565,5336568917,12572856054,107710,104453,0
membench,1,dram,rnd_prefetch,1500,32425.421875,1.385920130,2921400,51342434,1268442720,105479,197484,1417937,2023784,50031785,13765114,53103128,107997851,995731,1038,0,0,1017767,2323401628,5368879387,12811644480,520563,522672,0
membench,1,pmem,seq,1500,43681.476562,1.539528727,2956995,51561956,1269351253,104329,211731,12822,2054409,49321758,13628139,52328667,108931274,0,6252,3981,0,999753,2388868296,5979258500,13055582712,100542,98876,85
membench,1,pmem,pgn,1500,2417.876709,1.947693654,2951986,49680349,1235473961,652045,1762650,11415,2162983,1543381594,1505308052,53318226,112038771,0,1050,0,0,990417,2337020469,7558741924,12895909302,1093506,98571,1032483
membench,1,pmem,rnd,1500,2396.093262,1.953545651,2922741,49739705,1233935406,104515,1701823,19025,2167795,1568966432,1508937899,53207177,112254130,0,1059,0,0,993012,2336439243,7586434888,12911784596,1075247,99043,1014699
membench,1,pmem,seq_prefetch,1500,40176.777344,1.551478294,3016141,51209182,1274026458,106238,208942,11487,2112672,52102041,15551932,52408639,110955904,1004247,1033,4457,0,951628,2240546237,6024207577,12789915937,105162,99901,0
membench,1,pmem,pgn_prefetch,1500,26209.572266,1.570655184,4227671,52022284,1274123386,108709,209915,11838,2134522,116702135,79451371,52755929,111050237,987137,1019,10,0,1004942,2341454146,6100007113,12923267179,526810,526061,769
membench,1,pmem,rnd_prefetch,1500,21506.300781,1.578535984,4195719,52983892,1290163736,103185,208311,11986,2136916,112821703,77143071,52860205,112211090,971158,1035,0,0,994494,2329391961,6130822971,13009117678,97863,456874,526
membench,1,dram,seq,2000,43771.335938,1.502045354,2933543,52189989,1266808601,695188,808521,1570138,2126287,48497929,13594434,53084472,112653573,0,1054,0,0,982010,2833238842,5830479663,15072062243,101303,99218,0
membench,1,dram,pgn,2000,9838.549805,1.586028083,3455862,51792338,1251234481,1635229,1478612,1467696,2091762,360106321,324189258,53486647,110315958,0,1056,0,0,987911,2820246539,6157502630,14897152163,1106632,1130838,0
membench,1,dram,rnd,2000,9578.727539,1.581920746,4099945,53059197,1292977413,1062200,1172347,1493759,2091240,355226398,319293975,53679890,109724673,0,1053,0,0,1003854,2875640519,6140210895,15125376657,1155814,1176563,0
membench,1,dram,seq_prefetch,2000,40728.222656,1.508310054,2930209,49794783,1226603637,614411,721003,1482373,2086036,50852248,13603607,53829392,111772175,953408,1063,0,0,974909,2792322622,5854120699,14902942602,101495,98682,0
membench,1,dram,pgn_prefetch,2000,47555.640625,1.499793885,4111876,52909974,1276789981,658618,210112,1557686,2124406,49331184,13388112,53084305,112847044,953167,1079,0,0,993105,2862714918,5821158584,15146621344,97285,96300,0
membench,1,dram,rnd_prefetch,2000,32649.863281,1.505099435,2914437,50453533,1264295399,662679,778919,1527201,2112005,48500203,13210140,54013818,111410848,941775,1382,0,0,1020935,2905217545,5839798574,15230233828,94917,95614,0
membench,1,pmem,seq,2000,43828.890625,1.678266330,2988943,51454429,1264799766,636219,761455,13085,2194113,50145387,14131374,53559541,110733122,0,1037,0,0,987100,2821504162,6517358804,15130787372,100453,97203,79
membench,1,pmem,pgn,2000,2437.550049,2.054178975,2905263,51338190,1262285674,105820,1205601,12734,2125052,1705594028,1535187227,55106244,109957262,0,6237,0,0,1032068,2885870099,7978740361,14982889929,1121964,96952,1020729
membench,1,pmem,rnd,2000,2411.980957,2.062168074,2906791,51662460,1264958389,108151,1208144,13333,2148516,1548435492,1539608309,55407800,115511163,0,7562,11,0,1030881,2902843682,8011197310,14990969195,1119103,96871,1020898
membench,1,pmem,seq_prefetch,2000,40397.511719,1.684493563,3027655,50065147,1239687728,610343,730562,11938,2181808,52790111,14950959,53509418,110234930,953809,1035,0,0,985443,2788393924,6541929441,14952403177,100693,94087,141
membench,1,pmem,pgn_prefetch,2000,28773.664062,1.682115872,2957336,51399717,1272862115,630427,748918,12452,2165568,103651581,64181554,54022959,115005103,936779,6205,0,0,1050063,2959170543,6532716842,15307644221,98333,97577,269
membench,1,pmem,rnd_prefetch,2000,22386.890625,1.704722480,2970930,50475723,1252168977,101522,200685,12190,2097478,103664380,111833570,53938784,109384899,922582,1053,0,0,962265,2761823694,6619856801,14828579576,101157,95477,161
membench,1,dram,seq,2500,42830.222656,1.630906536,2920811,51150412,1266237694,107583,206513,1444551,2011430,47477750,12737214,52442959,108061689,0,1125,7068,0,985765,3337162939,6333651214,17033355265,97975,96882,0
membench,1,dram,pgn,2500,9881.129883,1.715125319,2880021,50474734,1258123023,1109488,1217182,1434604,1989295,368646558,334477232,51824170,110199067,0,1106,6656,0,1001222,3254306370,6647559617,16745682949,1078445,1097320,0
membench,1,dram,rnd,2500,9683.916992,1.707647003,2882768,50622177,1265536401,1094575,1205501,1443123,1997519,360208057,362442000,54744138,109386741,0,1061,0,0,993016,3351254480,6626055452,17066919286,1131832,1134787,0
membench,1,dram,seq_prefetch,2500,40693.417969,1.635219557,2933387,50630241,1268394757,108054,201867,1392227,1984172,49195994,13144586,52960414,110705245,1002442,1121,6922,0,965935,3244032287,6340047586,16837875555,100577,99422,0
membench,1,dram,pgn_prefetch,2500,47537.554688,1.625905264,2948401,51447676,1268538573,104361,201000,1478998,2048985,47039259,12443738,52704817,107831108,951914,1163,2500,0,988395,3339547765,6303375091,17050175628,96841,96510,0
membench,1,dram,rnd_prefetch,2500,32354.082031,1.643482411,2888052,51316197,1274651449,107667,203746,1441494,2021182,48430897,13234395,52806168,110303306,997875,1015,0,0,997572,3251370363,6374583434,16741151469,99513,95948,0
membench,1,pmem,seq,2500,43786.671875,1.799205532,2928828,51347139,1269501413,108514,207211,12276,2077464,51051455,14153671,54261539,112692577,0,6129,0,0,1017234,3397187358,6987917780,17186221327,99173,97562,76
membench,1,pmem,pgn,2500,2444.569336,2.185733942,4177224,52091670,1280859571,113042,1196886,11360,2153124,1531551376,1495273829,53545435,108922393,0,2228,0,0,1062396,3415128983,8490880466,17018203115,1519889,496843,1005539
membench,1,pmem,rnd,2500,2415.138184,2.186112627,4111012,51873014,1302827622,108398,1191372,14409,2049587,1533466137,1496285992,53458727,115084692,0,8046,0,0,1059468,3464070896,8492210868,16997536730,1507623,491146,999893
membench,1,pmem,seq_prefetch,2500,40474.359375,1.811338287,3004561,51151846,1263110958,106606,209008,12337,2126547,49320170,14295212,52459017,106394061,1005387,1068,6283,0,968302,3225194978,7034989224,16822598835,102929,99175,0
membench,1,pmem,pgn_prefetch,2500,34996.851562,1.798779045,2917474,52638938,1242850724,113072,216309,12144,2093168,78142197,43668265,55080001,117136033,937325,11068,2903,0,1043700,3428392452,6986567795,17009635174,107379,100821,426
membench,1,pmem,rnd_prefetch,2500,26151.312500,1.815922250,2964325,51401745,1274444086,107065,220745,11300,2156714,78854854,42829470,52936193,107522666,988433,1037,0,0,1026074,3338021915,7051941198,16954720550,104132,100396,27
membench,1,dram,seq,3000,43689.109375,1.763199827,3920761,51435104,1253701924,647111,276301,1461578,2105811,52314393,13730207,53940301,110231594,0,1068,0,0,1000060,3806132926,6844708023,19014021381,99600,96356,0
membench,1,dram,pgn,3000,9933.150391,1.834278179,4119092,52192690,1288144230,1070446,1183809,1511289,2074771,357313100,321910175,53308145,108073480,0,1047,0,0,1033256,3914376325,7119614855,19088085413,1539879,1540214,0
