exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42414.218750,0.981067695,4092791,51315341,1278377372,671143,780478,1500744,2138040,50297884,13337755,53545167,111676819,0,1102,0,0,27735,865673398,3807308377,6856371700,98203,95801,0
membench,1,dram,pgn,0,9906.777344,1.067084174,3296751,49795092,1235588144,1813979,1770693,1463309,2085855,290867718,253493025,54084127,113562161,0,1077,0,0,18372,879996099,4142864505,6915981861,1222492,1368773,0
membench,1,dram,rnd,0,9540.619141,1.072866016,3245553,49905670,1243311999,1852903,1844181,1496982,2102750,285556131,249323265,53928322,112514223,0,1060,0,0,20212,883470889,4160554495,6937940860,1215720,1357536,0
membench,1,dram,seq_prefetch,0,39119.039062,0.994176143,3989477,50828519,1282662018,98338,188851,1389343,1978938,276482673,56185359,54575220,116383975,0,1077,0,0,15377,854958775,3857131601,6933243848,99152,96767,0
membench,1,dram,pgn_prefetch,0,20334.710938,1.014438984,3315029,51525113,1270739609,101880,196316,1427980,2005412,209457427,173993195,51617678,107520826,1049406,1077,7438,0,25128,883163131,3932778270,7002409326,107038,104737,0
membench,1,dram,rnd_prefetch,0,17680.027344,1.025150657,3149303,51698825,1280130105,105125,204093,1447252,2002108,205210228,171228326,51793202,108638004,1179807,998,6729,0,34394,881559437,3958896967,7083606949,104815,100216,0
membench,1,pmem,seq,0,31004.869141,1.167924565,3711400,51355218,1276550460,101522,224043,18489,2153998,286008175,54940856,53684764,114899736,0,1047,0,0,29668,866569211,4525891559,6842853858,99930,94719,224
membench,1,pmem,pgn,0,2403.701660,1.538399284,2960754,51519245,1286606885,111394,1195408,12320,2108413,1573323868,1536559382,52259576,106075301,0,6593,5004,0,19631,847520110,5974453175,6779453047,1127827,100636,1027901
membench,1,pmem,rnd,0,2380.323242,1.561657622,2983828,51834312,1278672936,108881,1205606,10708,2104294,1584482659,1549156871,52516615,110623762,0,1024,0,0,37223,887440715,6060219060,6934892758,1492812,311784,1029133
membench,1,pmem,seq_prefetch,0,29564.804688,1.161655924,3690003,50917405,1294276670,100302,678168,18295,2209589,66279924,16873796,52967259,108973684,0,11041,0,0,40913,869311339,4510238683,6850013442,97052,94614,0
membench,1,pmem,pgn_prefetch,0,4484.204102,1.366645507,3075151,50923527,1260314607,101419,203212,11578,2079455,906470088,871558280,51670965,108534396,1020016,1056,5606,0,23397,895825171,5307718057,7081854175,102895,103061,660
membench,1,pmem,rnd_prefetch,0,4369.750977,1.359198307,2974092,51991632,1260199234,108339,211130,10505,2046805,882710982,848758450,54795259,112658879,775921,8061,0,0,33662,850896778,5267434283,6717136693,101400,98812,22
membench,1,dram,seq,500,43652.871094,1.119654244,3021066,52667707,1273714402,104987,208231,1540806,2058725,48007745,13456395,51517302,110523823,0,1021,0,0,951146,1289567838,4336848345,8738109105,570298,105923,0
