exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42722.261719,0.989738930,4096344,50534213,1289050311,99905,192637,1363981,2031596,281934420,56705098,54018369,115133751,0,1056,0,0,23060,856528231,3832904949,6942256302,99898,98323,0
membench,1,dram,pgn,0,10016.026367,1.061071324,3348064,51661389,1265556016,1593746,1541220,1471658,2085851,289947845,252513596,54035491,114837768,0,1010,0,0,27660,865434594,4118799457,6807732230,1414980,1565579,0
membench,1,dram,rnd,0,9798.062500,1.069021624,3270246,51793190,1265895806,1619473,1596296,1533853,2113488,279793696,244232608,53469201,111529447,0,1063,0,0,31702,868900369,4128615646,6793861596,1441685,1565194,0
membench,1,dram,seq_prefetch,0,39013.734375,0.989859948,4022629,50080823,1282461444,109544,202938,1317096,1971728,282715907,56095373,54602443,117877607,0,1067,0,0,22751,858499321,3841513843,6961417118,109211,105720,0
membench,1,dram,pgn_prefetch,0,20479.212891,1.014994466,3291690,51931110,1270756553,104054,197684,1449012,2012126,207680158,173281752,51415583,107688561,1030935,1128,7033,0,23475,880859971,3939187036,7009616035,106095,101429,0
membench,1,dram,rnd_prefetch,0,18145.855469,1.014134463,3129405,51309365,1283124518,105495,201346,1427894,1983558,201515817,167972934,51808339,108109593,828515,1109,6756,0,32344,874701325,3933814590,6929330998,97298,97682,0
membench,1,pmem,seq,0,28662.330078,1.164318862,3604875,51099214,1273438347,105786,210788,18610,2132535,291838059,61661437,53793285,113411411,0,3578,0,0,32015,866143370,4517477980,6810321062,101367,99109,250
membench,1,pmem,pgn,0,2405.314697,1.550742693,2982124,51649526,1270075254,108803,1203348,11967,2119089,1584080557,1549411806,52140252,106747652,0,1022,3751,0,45439,888269648,6022629112,6925354610,1117360,97882,1037209
membench,1,pmem,rnd,0,2383.949463,1.560008908,2980074,51721896,1269816217,110635,1204867,13238,2110476,1581400889,1546369457,52374140,106895072,0,1039,0,0,38635,889854540,6055656690,6978550992,1514399,425671,1035675
membench,1,pmem,seq_prefetch,0,27794.763672,1.164647529,3627279,51306216,1273542419,99820,204084,16487,2097075,305675435,62946242,53754043,116296944,0,6278,0,0,38991,866053965,4521829123,6797510720,96487,96357,0
membench,1,pmem,pgn_prefetch,0,4486.497559,1.354821837,3086759,51632520,1257528714,105072,202843,13084,2120944,898456291,863479540,54305547,109073237,778797,4987,0,0,42253,865143048,5253043824,6790125375,102715,98087,487
membench,1,pmem,rnd_prefetch,0,4360.680664,1.362596363,3017870,51453804,1266344051,107084,210037,12946,2068632,886889209,852287788,52188560,109246611,929192,1165,6803,0,34807,884653888,5291989771,6897253986,100063,99350,4
membench,1,dram,seq,500,42600.320312,1.133160805,3002206,51717196,1275362850,108799,209334,1453825,2018657,50007705,14074928,52139094,111223034,0,1034,0,0,1027095,1350032757,4391570490,8793444162,517017,519681,0
membench,1,dram,pgn,500,9987.714844,1.196174509,2998848,50792157,1259384976,1139818,1238436,1384032,2012072,374749684,337115344,52655790,108732511,0,1067,6538,0,842115,1281435331,4643055882,8876266992,1047774,1117608,0
membench,1,dram,rnd,500,9773.546875,1.195121978,2965508,50998885,1268493333,1117770,1230912,1437872,2026745,363284482,328824542,52234256,107124297,0,1074,6648,0,795582,1320490167,4637074930,8917288124,1134058,1188615,0
membench,1,dram,seq_prefetch,500,40324.207031,1.120541996,3039311,52510399,1276720289,102618,204605,1558825,2101400,48539873,13643136,51091857,110111326,1004970,1054,0,0,1025062,1312432684,4346041937,8781938318,519076,521705,0
membench,1,dram,pgn_prefetch,500,39662.082031,1.121541818,3018627,51729760,1282624670,108341,207974,1468852,2034735,66811124,31228030,52220157,113368841,1002150,1002,0,0,1024869,1309178150,4346329963,8828721399,530428,536283,0
membench,1,dram,rnd_prefetch,500,28569.796875,1.129963679,4177307,51048523,1282401698,109960,205527,1429334,2065107,68365601,30259057,53358727,111357017,956753,1037,0,0,985568,1360318580,4386178605,9023087642,536050,541758,0
membench,1,pmem,seq,500,42740.523438,1.283130527,2992794,51754035,1277953294,107154,214636,13421,2066745,51030714,15613559,52185477,106472835,0,6052,6635,0,914338,1358047827,4982319526,8950905402,99644,99945,595
membench,1,pmem,pgn,500,2375.262939,1.695052719,2980401,50232408,1240441014,105773,1250186,16909,2134916,1778379613,1537889406,54163360,113629900,0,1047,0,0,963794,1353559391,6583676282,8940169771,1102074,98019,1060508
membench,1,pmem,rnd,500,2362.837402,1.675659443,3020697,52325219,1287107145,669238,1667935,11731,2135496,1495629604,1458231555,54059794,111571251,0,8885,0,0,1091321,1376802634,6507463058,8799357078,1162945,97358,1062559
membench,1,pmem,seq_prefetch,500,36400.699219,1.303666125,4245714,52213279,1270601477,104057,213737,11118,2124935,58987610,23646067,52390075,110686669,997178,1009,0,0,1007730,1354766310,5060670420,8835381105,503457,504199,504
membench,1,pmem,pgn_prefetch,500,6301.514648,1.427457837,3108180,50742299,1244851545,104975,749635,19408,2204505,532438068,493794542,53880788,112521663,877297,1041,0,0,920057,1351200214,5541750420,8921911740,104150,98185,574
membench,1,pmem,rnd_prefetch,500,6062.626465,1.438128542,3027940,50640495,1252167223,103483,200629,10545,2069271,878316666,607798912,54227768,112190691,865199,1089,0,0,893189,1327395811,5578880366,8926103817,101098,97630,139
membench,1,dram,seq,1000,43694.835938,1.246569713,2981621,49765463,1213441408,296240,730479,1452957,2128254,51216588,13458002,54604358,106841840,0,1100,0,0,920580,1795677081,4837915973,10898799153,101598,98447,0
membench,1,dram,pgn,1000,9935.814453,1.326112700,4126800,51606820,1275699702,1580328,1146230,1489844,2075365,348040694,310314741,53670132,115988656,0,1049,0,0,965920,1851305574,5146228924,11037258755,1182334,1228762,0
membench,1,dram,rnd,1000,9736.339844,1.335407673,2950424,49586643,1243787186,1624856,1707342,1424512,2037986,333433254,297147676,54472448,112193261,0,1056,0,0,972567,1866318196,5182567444,11068037583,1192338,1219573,0
membench,1,dram,seq_prefetch,1000,40665.285156,1.248958919,3031145,50197820,1221625497,107573,710935,1475178,2171277,52780670,13841023,54499465,109860105,892164,1103,0,0,917013,1792132127,4847189795,10914677542,107363,103426,0
membench,1,dram,pgn_prefetch,1000,44571.222656,1.251430704,3001002,49977956,1239837778,102427,761605,1436138,2068090,56258406,19006554,54045702,113926844,900204,1060,0,0,920016,1784133350,4849653628,10885493874,102783,98754,0
membench,1,dram,rnd_prefetch,1000,31003.904297,1.259159014,2980031,49823490,1249361043,98994,192702,1389157,1938277,283070985,61953170,55432702,115336700,875909,1056,0,0,893453,1767757019,4885224313,10851590938,99612,97912,0
membench,1,pmem,seq,1000,43301.289062,1.414168153,4175479,53401049,1288024191,571875,216175,12907,2180931,53527502,15878249,53231123,112412337,0,6167,0,0,1064971,1941678905,5491385504,11282280998,97068,94465,697
membench,1,pmem,pgn,1000,2394.125732,1.807972698,2912994,52204988,1263179772,108890,1202317,13012,2107302,1586843869,1550273292,52968264,113394133,0,9272,8367,0,1027003,1861514620,7021208771,10840361183,1123883,97256,1022131
membench,1,pmem,rnd,1000,2372.985840,1.806827967,2944581,53335845,1253587298,113943,1195958,13640,2207278,1581505681,1543912143,53657605,111970696,0,14442,9155,0,1028962,1850356215,7016711298,10911897196,1115246,94661,1015653
membench,1,pmem,seq_prefetch,1000,38629.429688,1.408007315,4164422,53201323,1286692262,627304,217370,11561,2119139,55584946,18505784,54216119,116580477,875757,8891,0,0,1150045,1995395511,5466301892,11221257495,92801,93556,184
membench,1,pmem,pgn_prefetch,1000,10967.918945,1.483767530,4203706,52685311,1285745727,108787,209332,11917,2128073,322883940,286169816,53232232,113416460,950764,1046,0,0,1024875,1903035793,5757340828,11163810286,489660,488962,637
membench,1,pmem,rnd_prefetch,1000,10369.356445,1.494702109,4203486,53000933,1292438686,109949,211913,11818,2149170,324250959,287381683,52902214,107529459,946012,1043,0,0,974574,1868771913,5805024097,11108536750,102288,97915,348
membench,1,dram,seq,1500,43771.335938,1.372356021,2942758,51410276,1266784629,108331,201021,1423383,2020202,48081233,13068247,52596132,106448757,0,1104,6558,0,928718,2284354329,5319288042,12922110142,100701,99696,0
membench,1,dram,pgn,1500,9720.157227,1.455682837,2915106,50970812,1274461990,1105531,1218627,1405929,1973162,370301988,336139250,52357564,111042838,0,1066,6692,0,923742,2258201154,5647180563,12854663821,1094145,1128859,0
membench,1,dram,rnd,1500,9500.375000,1.451955428,2929250,50947399,1269434137,1099468,1209523,1450543,2043935,365951173,330016444,52444836,105831614,0,1126,7481,0,954016,2330308460,5629266618,12993648192,1141371,1153300,0
membench,1,dram,seq_prefetch,1500,40678.515625,1.377355830,2970488,52500762,1277081291,107600,204783,1576816,2067689,45076945,12494951,50832839,109562489,1002933,1064,3731,0,956841,2233404378,5342546767,12707725512,96172,100921,0
membench,1,dram,pgn_prefetch,1500,47411.343750,1.373364432,2948696,51222381,1260878609,102934,199671,1445151,2027041,47574812,13365268,52060036,109655673,1009524,1018,6871,0,941794,2204136130,5330329980,12723312280,104702,102622,0
membench,1,dram,rnd_prefetch,1500,32584.966797,1.386291839,2947722,52338213,1282374790,108337,204312,1510156,2039800,48324484,13441788,52087947,112295431,995996,1028,0,0,1017263,2295470169,5380110863,12839283528,551921,402020,0
membench,1,pmem,seq,1500,43633.828125,1.549315259,2997061,51703526,1260676175,110775,206539,12130,2096991,48701229,13589467,52372268,107332479,0,1092,4547,0,949530,2324452365,6015443292,12975983356,101272,93811,273
membench,1,pmem,pgn,1500,2418.561035,1.932747057,4106022,54225239,1294965228,109236,1180187,12279,2168451,1531087563,1494129479,53713886,113926390,0,11518,0,0,1069046,2406067777,7505140649,12968834047,1147953,487153,1026597
membench,1,pmem,rnd,1500,2406.686768,1.944802587,2939216,50520124,1259896305,665592,1758466,12624,2177832,1530957877,1494804734,53478051,108419417,0,1054,0,0,1002893,2347830336,7553452786,12980731927,1116784,95378,1057466
membench,1,pmem,seq_prefetch,1500,40032.027344,1.534668703,2976002,51242028,1282568102,105445,211422,11747,2103457,52915200,15387446,52938893,110698333,896012,8821,1428,0,1056854,2424954083,5959922075,13097972527,102236,99659,0
membench,1,pmem,pgn_prefetch,1500,26164.310547,1.560234252,2999810,52283582,1277645873,106399,206900,12312,2144995,116440775,80442066,52976279,111457478,979316,1028,0,0,1064111,2381169153,6059222685,12988891646,516689,513472,509
membench,1,pmem,rnd_prefetch,1500,21514.167969,1.564312407,2936462,52310786,1299420989,107238,209612,12854,2140600,113497381,75795238,52774049,111912880,963611,11249,0,0,1108198,2476771646,6075561895,13193370224,517136,517963,41
membench,1,dram,seq,2000,43834.656250,1.506428041,2917568,49630741,1243019605,639905,751883,1493932,2060543,49960799,13711051,53493511,114795846,0,1029,0,0,974896,2788088800,5850147319,14962520524,97985,96743,0
membench,1,dram,pgn,2000,9952.724609,1.585602216,4082105,52826166,1270518067,1393301,1179884,1487117,2101848,356295388,319742653,53441375,111136407,0,1050,0,0,1000923,2820177104,6146098067,14958241452,1124117,1148347,0
membench,1,dram,rnd,2000,9601.444336,1.591177818,2880002,51495417,1256834605,1600933,1706651,1461476,2071571,352717575,317598949,53714408,111947225,0,1054,0,0,987860,2821426582,6165161211,14952507983,1111163,1133954,0
membench,1,dram,seq_prefetch,2000,40680.171875,1.507488285,2945402,49087894,1221377072,607869,727262,1508897,2111495,49276711,13482623,53360198,115245796,953003,1074,0,0,970904,2782797321,5852223503,14915380589,99502,97431,0
membench,1,dram,pgn_prefetch,2000,47463.097656,1.504563875,2958432,49709139,1248371775,696281,801942,1530767,2100501,47570437,13122020,53143012,113519553,956383,1072,0,0,976692,2792496943,5839066214,14926113066,99270,99078,0
membench,1,dram,rnd_prefetch,2000,32485.460938,1.517050797,2919078,50016777,1239867648,102230,196511,1426390,2059084,278730638,55195997,54054038,113982086,950063,1070,0,0,965602,2783973696,5884323343,14849938577,102761,101244,0
membench,1,pmem,seq,2000,39717.214844,1.666978668,4149724,54253072,1294798718,108864,224858,13362,2149024,64443577,27050923,53926521,108932653,0,9586,0,0,1092175,2993994553,6473856315,15295923835,103242,502975,365
membench,1,pmem,pgn,2000,2437.573730,2.065974091,2953832,50850455,1265860673,109366,1217004,12788,2081312,1576082283,1539241753,52304285,108966513,0,1135,4948,0,990921,2826398522,8026085954,14930058797,1109161,98151,1027077
membench,1,pmem,rnd,2000,2416.217773,2.062033315,2894838,51415670,1270603736,108034,1206326,14460,2075538,1567099094,1534478580,54695823,114773512,0,6246,0,0,1034944,2893863087,8010821501,14989862372,1116523,92007,1020762
membench,1,pmem,seq_prefetch,2000,40422.003906,1.680717512,3005418,50047712,1244532282,606592,722604,11581,2169571,52479815,14985658,53422212,110443149,951963,1044,0,0,983505,2786964389,6528008304,15012219809,102262,97420,4
membench,1,pmem,pgn_prefetch,2000,28696.052734,1.686151066,2963754,50285446,1251445088,663378,774691,13113,2145185,105366789,66339309,53837804,114531938,937275,1069,0,0,998308,2880384127,6539708522,15170638441,95711,92934,412
membench,1,pmem,rnd_prefetch,2000,22600.914062,1.702491310,2969553,50433578,1249254726,107360,207474,12354,2101437,319198370,114288880,54214602,109884629,929686,1057,0,0,961524,2759725846,6611037767,14902795783,103784,97032,237
membench,1,dram,seq,2500,43536.941406,1.635142216,2899867,51497713,1243376927,103055,196581,1476597,2083790,50856928,13461231,52185980,103665848,0,1107,7263,0,967072,3214934790,6337579711,16695668376,102932,100946,0
membench,1,dram,pgn,2500,10058.541016,1.708041498,2897877,51179331,1259606484,1095635,1202956,1444477,2052653,359411849,348737696,54419733,107802107,0,1075,0,0,1000031,3322124583,6625204533,16967067142,1119306,1137894,0
membench,1,dram,rnd,2500,9697.627930,1.717932470,2862300,51100303,1255257655,1097112,1210240,1423219,2018080,363207104,326999644,52295204,108633653,0,1122,6735,0,965733,3264945969,6663275679,16859123315,1091285,1111672,0
membench,1,dram,seq_prefetch,2500,39748.785156,1.634604051,2934230,51219012,1268432311,109631,202930,1407786,2004555,47927654,13030262,52772825,107536903,995926,1108,6608,0,983379,3284583830,6338603549,16926380133,101003,99027,0
membench,1,dram,pgn_prefetch,2500,47143.125000,1.637456874,2912396,50552482,1259198578,104597,196911,1415025,2002973,47305116,12986158,52086211,108972961,1010032,1081,6543,0,969129,3226497115,6351969309,16714250662,101110,98303,0
membench,1,dram,rnd_prefetch,2500,32299.742188,1.635536776,2888054,51300794,1274615901,103846,203579,1451145,2050835,47831579,12658871,52702703,107243786,993250,1131,6620,0,998825,3338263738,6345234945,17042747628,97666,97889,0
membench,1,pmem,seq,2500,43723.492188,1.789164714,2936826,51330574,1273521119,109558,209539,12869,2062549,284510748,58595213,55249762,110810696,0,10702,0,0,1061011,3452570289,6950123009,17141665330,99932,96821,281
membench,1,pmem,pgn,2500,2451.479248,2.181960987,2918279,51977784,1280210517,109275,1195416,12549,2100148,1525391050,1490671642,53783511,109953899,0,6106,0,0,1120410,3444739987,8467749937,16959083275,1548619,536111,996330
membench,1,pmem,rnd,2500,2424.083740,2.199089794,4128197,52854490,1287291426,108240,1194644,14768,2167975,1538053623,1500478123,53332468,110477809,0,1054,0,0,1022528,3340587407,8536792209,17034967528,1114709,95446,1033134
membench,1,pmem,seq_prefetch,2500,40355.125000,1.800442507,2949437,51274845,1263542360,103382,204998,12050,2110824,52253880,14909882,52435157,111799904,951896,3032,5398,0,1005890,3360170751,6992880318,17121646920,97929,95009,8
membench,1,pmem,pgn_prefetch,2500,34944.261719,1.818861066,3017501,51043124,1264285924,105095,207316,13371,2126298,81800617,45415468,52227770,108019206,1003691,1038,0,0,995336,3240390505,7063663442,16609196011,105551,101161,640
membench,1,pmem,rnd_prefetch,2500,25986.851562,1.806651968,2910846,52228758,1281773067,106828,207899,12049,2099476,80944371,44410671,53057136,112974348,965309,17190,8070,0,1045996,3425635754,7017552935,17057544947,99356,95114,49
membench,1,dram,seq,3000,43525.570312,1.760026946,4083800,51941395,1266183230,703173,205419,1483147,2093231,49255614,13340914,53923129,109248234,0,1055,0,0,1001267,3829502271,6826332233,19055317718,98166,96014,0
membench,1,dram,pgn,3000,9983.527344,1.838643423,4096570,52211195,1275590441,1079370,1192387,1477625,2074966,356718664,319583130,53162620,111361872,0,1039,0,0,1009492,3838736483,7140187714,19066860072,1521591,1534802,0
membench,1,dram,rnd,3000,9603.288086,1.848636746,4038452,51366661,1260976227,1646145,1189637,1472318,2063837,359426697,323573476,53166591,111056022,0,1044,0,0,1009453,3829293453,7167158151,18886138887,1097333,1113852,0
membench,1,dram,seq_prefetch,3000,40794.679688,1.766920914,2909071,51706407,1269373406,679353,795647,1464021,2049246,49631782,13280524,53643430,114355039,974864,1037,0,0,1001854,3801623005,6854355852,19019577212,99990,96740,0
membench,1,dram,pgn_prefetch,3000,47521.742188,1.761931306,4087050,51625216,1266063712,636329,214320,1450329,2064687,49365264,13764281,53756756,113375708,976371,1045,0,0,1039927,3806819457,6843118963,18982796718,100407,97954,0
membench,1,dram,rnd_prefetch,3000,32482.298828,1.769749303,2850741,49497717,1243326050,651958,759865,1500666,2102400,50993104,13754823,53429769,112713659,969856,1072,0,0,998540,3797536078,6858841985,19004421242,102074,99866,0
membench,1,pmem,seq,3000,43196.546875,1.945153156,2958418,51200922,1256210106,633565,752919,12887,2162584,51323944,14627413,53438547,113238406,0,1049,0,0,998112,3803289251,7551514143,18916028716,104046,98035,649
membench,1,pmem,pgn,3000,2456.441162,2.323203477,2926949,50805115,1255985859,109547,1218639,13503,2112385,1565335795,1556834396,54236273,109750746,0,1054,0,0,1028419,3800352596,9026056781,18913168074,1097795,98890,1023867
membench,1,pmem,rnd,3000,2436.985840,2.324223630,2935157,50937947,1259864076,105498,1211222,14477,2107131,1561375418,1528617272,54210570,108472259,0,1056,0,0,1015868,3814519168,9029961385,18971209188,1099810,96554,1021306
membench,1,pmem,seq_prefetch,3000,40498.949219,1.939835359,2979372,51720138,1260295814,629611,751056,13032,2145864,52187101,14766969,53486648,111164414,973849,1046,0,0,1008222,3796217974,7535411151,19001892485,101346,95942,141
membench,1,pmem,pgn_prefetch,3000,39312.812500,1.923550956,4187074,52258964,1314759877,104172,210302,13062,2146115,70044137,31376788,53310624,111856868,964269,9748,0,0,1085299,4037856741,7469380444,19278013137,495782,494805,813
membench,1,pmem,rnd_prefetch,3000,28283.744141,1.945509213,2943884,50297094,1264959322,610673,727282,12529,2169083,69434018,31401979,53635158,111481713,964143,1077,0,0,1012891,3871087113,7557468486,19213306109,100386,96581,101
membench,1,dram,seq,3500,44004.398438,1.891591503,2896336,50666525,1258241373,102963,200990,1453568,2021246,48177986,12945622,52136690,111060516,0,1099,7131,0,983153,4242303254,7344635663,20876248374,100757,97045,0
membench,1,dram,pgn,3500,9970.487305,1.965027070,2855100,50189145,1252719172,1104952,1217862,1465203,2055341,569480274,354266080,55756947,113588940,0,1071,0,0,1008839,4355045930,7625531970,21074770192,1122284,1129722,0
membench,1,dram,rnd,3500,9758.477539,1.968968722,2858568,50778214,1254323307,1096630,1213240,1501864,2056354,359889632,362447309,54202593,110183646,0,1073,0,0,992293,4293714064,7641692994,20968059363,1105049,1118326,0
membench,1,dram,seq_prefetch,3500,40558.078125,1.895707441,2913946,50382299,1255039130,102023,203655,1413335,2013497,49483746,13253654,52555890,111028297,1000287,1083,6593,0,979320,4233388031,7354389533,20767348803,102270,99557,0
membench,1,dram,pgn_prefetch,3500,47384.382812,1.885743902,2878019,50469175,1246979131,107031,207919,1431333,2071567,49667829,13119477,53919096,107392857,966688,1151,1069,0,983897,4291091321,7320306383,20949340720,100358,99335,0
membench,1,dram,rnd_prefetch,3500,32466.478516,1.899195724,2863825,51101694,1269034568,101142,204486,1461955,2030475,47493160,13104255,52660075,110722493,999280,1084,6525,0,994752,4212196606,7361965588,20811147613,98810,97587,0
