exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42486.296875,0.990072010,4118828,50380640,1280515122,98702,194445,1359477,2003964,281237029,56045320,54047201,116269352,0,1056,0,0,17340,854626087,3838657488,6930810550,98814,97413,0
membench,1,dram,pgn,0,9921.815430,1.067923451,3316863,49726599,1243742954,1800603,1769101,1474809,2092130,291226044,254321015,53957472,112120272,0,1050,0,0,17785,876731792,4142874799,6906707903,1226359,1374300,0
membench,1,dram,rnd,0,9705.911133,1.069630244,3257481,50578490,1241400952,1841683,1828334,1552375,2142270,282327238,246946011,53042854,111625853,0,1074,0,0,25959,882415198,4146880620,6896172910,1277936,1419085,0
membench,1,dram,seq_prefetch,0,39384.031250,0.987481677,4009559,50989828,1276675004,98387,696349,1492702,2167048,48709128,13145887,53450675,111974461,0,1076,0,0,28418,863923682,3830886876,6880206338,99424,95855,0
membench,1,dram,pgn_prefetch,0,20308.691406,1.010006256,3314117,51743195,1271811496,109272,201444,1424619,1998600,208047909,173296216,52273044,107585755,578733,1162,2952,0,45479,875992760,3917253239,6893431664,104456,103840,0
membench,1,dram,rnd_prefetch,0,17615.869141,1.020142943,3155550,51541748,1289591094,104532,199460,1440534,1985002,206579340,174202246,51719105,109429130,1182420,1067,9238,0,46545,876146899,3960256302,7053890257,101097,99626,0
membench,1,pmem,seq,0,30983.732422,1.163701472,3691520,51201863,1278596838,104993,703502,19393,2173060,52306816,14242452,53343251,115096260,0,6261,0,0,36751,865802595,4517722683,6808644568,98560,98147,608
membench,1,pmem,pgn,0,2395.645508,1.548253417,2938743,52067395,1269673483,104785,1197943,11368,2105608,1584383343,1547353844,52698247,112153425,0,6157,5180,0,55664,876197016,6011394702,6816853713,1123860,98415,1023633
membench,1,pmem,rnd,0,2384.648682,1.555574465,2987318,51682963,1281147859,108329,1201145,12531,2118369,1578954712,1542143605,52773266,109672695,0,1041,0,0,48949,878514624,6038445879,6916441891,1122501,100085,1026876
membench,1,pmem,seq_prefetch,0,27862.914062,1.158638658,3562272,51077236,1279220946,640843,765590,12120,2159506,51809766,14224782,53807978,116963840,0,8949,0,0,17876,860141531,4496149519,6800429592,98753,98251,0
