exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42238.648438,0.985962161,4086489,51505264,1277069433,106060,757597,1509395,2154652,49713714,12814001,53612373,111064418,0,1074,0,0,41202,863555936,3823507494,6869350251,99823,98522,0
membench,1,dram,pgn,0,9984.624023,1.068801406,3299409,49981388,1244529877,1885491,1858958,1478092,2068478,289935707,253333297,53660513,115049378,0,1051,0,0,15657,873674645,4147310549,6916969590,1190157,1338577,0
membench,1,dram,rnd,0,9602.458008,1.070810653,3256840,49801925,1242271471,1822655,1796351,1482966,2116859,285798895,248114651,54003372,112902747,0,1075,0,0,21439,885362539,4147497499,6933747620,1251194,1394510,0
membench,1,dram,seq_prefetch,0,39082.347656,0.990292447,3974438,50739269,1272530951,100104,191417,1419552,2098331,282267757,55250610,53468293,113923276,0,1112,0,0,26730,865304977,3839976990,6903561972,103173,96952,0
membench,1,dram,pgn_prefetch,0,20620.257812,1.019232541,3194597,51554178,1275727018,104958,197389,1415495,1987479,208682877,172975744,51605478,109436844,1317455,1103,6516,0,32084,874092642,3955433440,7097929984,106907,101304,0
membench,1,dram,rnd_prefetch,0,17874.699219,1.024872561,3062962,51856515,1278096486,99343,197641,1445111,2002739,206414897,170612508,51635040,107445085,1190821,1034,0,0,29806,873252997,3969043367,7110699586,108194,105162,0
membench,1,pmem,seq,0,31184.705078,1.162460124,3703039,51300230,1272244517,102234,773854,17577,2153142,50960961,14191364,53808066,116081177,0,4031,0,0,29363,860730719,4510343595,6795109714,95372,93602,259
membench,1,pmem,pgn,0,2402.038818,1.542659378,2952995,51576259,1282856140,105452,1200125,12441,2081822,1575701707,1540972291,52512273,106786107,0,7565,6655,0,30621,856758865,5991932003,6768919945,1127140,96939,1030258
membench,1,pmem,rnd,0,2378.143799,1.562374517,2986518,51809874,1271750699,106906,1198740,10442,2110724,1587363617,1549694123,52329218,110158246,0,1051,0,0,27638,879436127,6062564321,6955976538,1487089,516953,1009248
membench,1,pmem,seq_prefetch,0,29707.089844,1.160831674,3652017,51529662,1275242845,126386,751759,12208,2166465,49666543,13688823,53931240,113228030,0,7535,0,0,26545,861146887,4507802589,6749972588,98982,97472,0
