exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42441.218750,0.983775909,4071860,51313290,1279239592,542650,740867,1492313,2126130,49994877,13185307,53659799,109989765,0,1083,0,0,24233,863066468,3811560527,6856978347,98135,97180,0
membench,1,dram,pgn,0,9882.399414,1.065584180,3276045,50066462,1249873011,1671036,1638321,1460996,2088007,291367897,253740819,53755377,113780565,0,1053,0,0,24646,875188732,4137041766,6830560544,1341032,1486137,0
membench,1,dram,rnd,0,9549.821289,1.070179259,3285643,50343268,1258862603,1654590,1884730,1534695,2089624,282397749,248039386,53357832,116523747,0,1019,0,0,15530,874658580,4154494131,6966889568,1176471,1319021,0
membench,1,dram,seq_prefetch,0,39363.878906,0.991828890,3971622,50324287,1284177593,104337,196454,1350396,2001024,279441838,56300474,54084470,114925764,0,1080,0,0,25336,866853884,3843498000,6927417650,102669,100830,0
membench,1,dram,pgn_prefetch,0,20286.033203,1.015446624,3268702,51726100,1286867819,103483,196909,1407081,1943256,205184501,172634706,51694271,109279639,975322,1088,6679,0,26741,871641972,3941143493,7003325132,100682,97900,0
membench,1,dram,rnd_prefetch,0,17821.181641,1.020646975,3128004,50539559,1284293895,105682,202429,1379641,1943059,205656641,169667862,52197450,111041901,1182402,1083,6904,0,45360,880868455,3959540364,7073445530,104885,102809,0
membench,1,pmem,seq,0,29482.001953,1.153605791,3633035,51718790,1269651492,673881,795734,13511,2188786,49519434,13576318,53389829,111343849,0,17176,0,0,15558,852267608,4479106304,6766901198,100801,97177,199
membench,1,pmem,pgn,0,2405.968750,1.550916184,2973713,51884823,1274210923,104285,1204988,11196,2132761,1584653084,1549590332,52742989,107873775,0,1383,6547,0,61035,880155361,6020148337,6894367339,1133504,96298,1037102
membench,1,pmem,rnd,0,2389.252197,1.546264343,2929365,52181916,1278654108,109735,1198852,11676,2087321,1567680453,1532856483,52779600,107808073,0,15663,8332,0,43726,852380459,6004256965,6767867229,1121844,98249,1022773
membench,1,pmem,seq_prefetch,0,27831.894531,1.169328419,3646008,51339215,1272058963,107050,206708,12446,2045702,318522982,86097344,54935672,113267737,0,1078,0,0,40091,864923825,4540152751,6842625788,103568,99481,0
membench,1,pmem,pgn_prefetch,0,4502.942871,1.351973504,3052235,51489026,1257295805,105163,208047,10386,2070239,895740339,835628129,54693530,110230275,751404,4571,0,0,39468,858813459,5250299977,6747709331,102593,97913,454
membench,1,pmem,rnd_prefetch,0,4374.988770,1.363376207,2998324,51326350,1271261362,105550,206754,11453,2104338,886884214,852512223,52115587,107093787,902676,1091,5344,0,31738,879329245,5286461016,6882874851,101396,97271,9
membench,1,dram,seq,500,43517.996094,1.118997574,3009286,52651394,1281692496,106822,209509,1546709,2072543,46091765,13194330,51422816,110290368,0,1021,0,0,934100,1287156691,4337128185,8735438285,526563,99788,0
membench,1,dram,pgn,500,9862.030273,1.198321286,2980228,51330917,1266314283,1130776,1237487,1433668,2030742,378268267,341954892,52154406,108549497,0,1015,6482,0,867764,1282154888,4650278397,8847081198,1037308,1108178,0
membench,1,dram,rnd,500,9599.969727,1.194121277,2964103,51371440,1272385440,1122620,1223003,1459099,2055512,370432765,335165084,51911894,105703830,0,1076,6558,0,820866,1317039716,4630043908,8924764698,1118256,1174149,0
membench,1,dram,seq_prefetch,500,40404.039062,1.120945488,3009111,51961749,1285055657,108474,210236,1462068,2016669,48371535,13433434,52123816,111671701,1006357,1012,0,0,990027,1305756403,4349801308,8798325482,523163,234741,0
membench,1,dram,pgn_prefetch,500,38566.855469,1.117251235,2964513,51910179,1279036030,109486,204907,1458968,2027515,65357748,30227409,52185823,107520049,998137,1030,0,0,941718,1328822392,4335124800,8831958338,145754,102051,0
