exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42488.105469,0.985454518,4096662,50756652,1272766393,102417,732661,1451641,2122094,49692589,13403969,53671588,112033771,0,1068,0,0,28837,861649318,3822288286,6891494609,102420,102950,0
membench,1,dram,pgn,0,10134.485352,1.058754733,4398392,52699368,1285803444,1444457,981432,1505569,2068609,283926545,249497849,53278468,111007227,0,1052,0,0,31321,859311975,4107515579,6706066710,1517700,1598036,0
membench,1,dram,rnd,0,9682.979492,1.073917405,3237950,49747700,1242529533,1472925,1947766,1469054,2112940,283034756,248148413,53632172,114689648,0,1073,0,0,15929,878750874,4169086930,7041681411,1061980,1208966,0
membench,1,dram,seq_prefetch,0,39221.839844,0.986467554,3993492,50561308,1284703218,100346,413064,1422944,2062640,180957753,35432295,53622068,112331097,0,1075,0,0,28909,859178280,3830185470,6911213996,99575,98175,0
membench,1,dram,pgn_prefetch,0,20586.720703,1.012434864,3337423,52349970,1273039753,99852,194727,1529362,2061882,205870282,172462300,50599897,106238372,953008,1153,7033,0,28028,874077958,3926775825,6976119467,101786,101671,0
membench,1,dram,rnd_prefetch,0,18141.248047,1.018005097,3152927,51585564,1282756930,103885,195343,1419458,1979536,202194319,168913130,51931046,106324087,1136047,1073,6578,0,36527,878596820,3950675787,7020008460,99110,98221,0
membench,1,pmem,seq,0,31847.134766,1.172979730,3832088,50826954,1286381717,103466,207022,10706,2049467,334686904,93693767,54216787,114480090,0,1014,0,0,26693,855449311,4547582615,6976193806,101185,99440,527
membench,1,pmem,pgn,0,2404.603516,1.541814179,2967959,52118916,1270019303,106817,1197911,11802,2190374,1576257840,1540442448,52575885,105793952,0,6093,4955,0,28465,839053969,5988082048,6778376658,1132076,98217,1030507
membench,1,pmem,rnd,0,2388.818359,1.556187088,2968400,51721472,1273473179,106996,1201178,13112,2081003,1577233698,1542738278,52554551,107374900,0,1047,0,0,46262,887256915,6043918648,6960650514,1520470,98840,1028023
membench,1,pmem,seq_prefetch,0,30121.388672,1.160216426,3665050,51368592,1271092890,648445,771988,10485,2135492,49729280,13770122,54108687,113709470,0,10214,0,0,25210,860314633,4503046908,6736943512,103914,102259,4
membench,1,pmem,pgn_prefetch,0,4509.216797,1.349434256,3014432,51166526,1254967583,106987,210136,11196,2028035,1056096023,783357263,55785872,114354093,756989,6325,0,0,34327,852877798,5237487305,6650728137,100622,96948,391
membench,1,pmem,rnd_prefetch,0,4362.906738,1.353679085,2982726,50283275,1301861327,101231,205414,12278,1992057,911164326,817526017,53624341,108046656,731177,10185,0,0,26985,867956899,5256187105,6823479614,99110,100789,13
membench,1,dram,seq,500,43512.312500,1.118648591,3002977,52599092,1259134107,104419,204858,1531513,2118134,47969112,12794968,51555905,106378988,0,1058,0,0,962827,1296397926,4335519330,8735875908,570665,105319,0
membench,1,dram,pgn,500,9880.836914,1.197233791,2988335,51269878,1259151849,1137905,1234494,1393488,2000846,378220379,341690617,52741899,108174061,0,1025,6735,0,885676,1290899015,4638155094,8827955373,1015489,1086216,0
membench,1,dram,rnd,500,9691.048828,1.194610893,2952910,51478555,1273182466,1116296,1224343,1465277,2065564,366906947,332053746,51795094,105987079,0,1092,7321,0,817893,1320652443,4629403524,8912685675,1135629,1181066,0
membench,1,dram,seq_prefetch,500,40293.335938,1.120956032,3016732,51956763,1262169970,100613,204546,1489664,2086745,49506923,13331055,51918553,108278410,1006499,1050,0,0,1025427,1332140686,4349348708,8794967517,512123,516080,0
membench,1,dram,pgn_prefetch,500,38494.109375,1.123644201,3006114,52041319,1283199958,106001,201220,1472488,2046553,66409555,30995480,52257505,109231489,1001589,1020,0,0,1022325,1332553342,4352287040,8809242675,519924,525266,0
membench,1,dram,rnd_prefetch,500,28459.216797,1.125630045,2924071,52048317,1290202774,107398,209504,1450775,2047342,64906048,29605579,52971771,107656238,953496,1038,0,0,1031777,1413347793,4366690036,9008534948,522770,530594,0
membench,1,pmem,seq,500,42903.722656,1.275517333,2998459,51883772,1268338473,108352,210882,10622,2080361,50410752,15440801,52660165,107789969,0,8444,6766,0,1021783,1384511146,4952664965,8908340893,102317,100526,227
membench,1,pmem,pgn,500,2382.733643,1.684514134,2956206,50557689,1263289380,653613,1739712,13080,2155264,1511841691,1473892987,53698119,109877249,0,2835,0,0,1031698,1370090353,6543015619,8811390662,1175971,98696,1075292
