exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42435.816406,0.991139772,4078654,51320320,1276677817,104036,199743,1422129,2084496,278188390,55207247,53309913,114156693,0,1063,0,0,22791,859737229,3845572777,6910110006,105167,101370,0
membench,1,dram,pgn,0,9860.863281,1.061899607,3288992,51284219,1255140871,1620019,1569195,1455626,2083752,288157045,251270199,54055843,111581447,0,1071,0,0,32832,871754935,4115478343,6790131655,1397952,1544826,0
membench,1,dram,rnd,0,9541.256836,1.067504300,3253228,49707053,1251868668,1720340,1680245,1479812,2084421,283356054,246911341,54073087,111961728,0,1064,0,0,42947,873353713,4133922555,6820394040,1401117,1535753,0
membench,1,dram,seq_prefetch,0,39056.398438,0.987950527,4000649,51128550,1276212915,100759,207627,1411703,2110758,282534057,50926764,53892580,111203662,0,1098,0,0,32762,868824445,3828781548,6889033592,102981,100072,0
membench,1,dram,pgn_prefetch,0,20423.167969,1.009867790,3286141,50974798,1270302917,106160,199750,1385816,1986380,208562862,173366446,52103587,107193602,752189,1105,6783,0,28163,876574071,3919520587,6967930780,102809,101903,0
membench,1,dram,rnd_prefetch,0,18083.509766,1.016531673,3148176,51695479,1278537997,104134,198857,1431639,1993260,201869759,167900011,51706542,105086275,1196257,1104,6580,0,40503,884776332,3944247770,7028051088,107453,103825,0
membench,1,pmem,seq,0,29905.201172,1.179761068,3535319,51552758,1275414613,100606,204052,10595,2041655,123172092,86924038,52927671,109954320,0,1113,0,0,17657,854040412,4578816517,6989485547,105191,97672,430
membench,1,pmem,pgn,0,2403.805664,1.542090179,2977994,52100236,1281793206,107590,1195774,12831,2187990,1578514521,1540963874,51838330,103344446,0,8840,6769,0,29643,843583141,5987874460,6833018415,1123776,95653,1024236
membench,1,pmem,rnd,0,2388.093994,1.554368114,2957666,51769774,1277351222,108945,1204054,12373,2117631,1576076072,1540856432,52636017,108168948,0,1035,2049,0,51294,881317077,6036669764,6906582579,1121523,99350,1028023
membench,1,pmem,seq_prefetch,0,27552.005859,1.170952705,3645261,51139296,1282401561,102514,203943,12034,2054234,316809457,83701445,54610368,113043942,0,1080,0,0,33309,867121792,4546315889,6870525428,98221,94750,4
