exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,41395.871094,0.993204765,4015872,50054531,1271663260,100751,188770,1332629,2015419,285424589,57362693,54074789,113685930,0,1081,0,0,17825,864209240,3846671564,6921433368,101967,98138,0
membench,1,dram,pgn,0,10044.699219,1.058199097,4370494,52572712,1278496672,1475038,1021611,1528358,2098750,289588515,250665810,53367860,109212523,0,1068,0,0,26085,856316615,4097458654,6668821044,1587654,1606558,0
membench,1,dram,rnd,0,9719.117188,1.062197872,3273886,50892389,1255653324,1647496,1596463,1487628,2113465,280768463,245193385,53949134,108915378,0,1072,0,0,27334,874340845,4119662984,6829480312,1432361,1558999,0
membench,1,dram,seq_prefetch,0,38827.414062,0.989163398,3998814,51108489,1271902505,102510,186161,1355926,2040940,274843868,55393072,54203497,109462734,0,1089,0,0,22055,871722228,3828479097,6891319857,101452,99658,0
membench,1,dram,pgn_prefetch,0,19645.207031,1.010533133,3261914,51774902,1274775068,119902,277307,1434773,2015270,213677820,177121549,51766581,105755729,599156,1143,4045,0,29376,871817896,3921300993,6887068554,158852,171111,0
membench,1,dram,rnd_prefetch,0,18042.724609,1.015730204,3142796,51756568,1279885279,102356,195947,1442894,2004240,203432846,169912393,51772118,104286468,1023142,1095,7033,0,26728,879215837,3941097482,6978020065,102056,101478,0
membench,1,pmem,seq,0,27971.246094,1.170051499,3637036,51297722,1271852543,104541,208720,11096,2039282,313404081,80338590,54911459,112493585,0,1062,0,0,44416,866586964,4543113856,6880696054,100766,96465,166
membench,1,pmem,pgn,0,2391.829590,1.548731193,2921107,52084974,1269150571,109925,1258885,11337,2084859,1592932771,1549499040,52800252,112134112,0,6110,3783,0,56613,872450220,6013612971,6789566863,1130667,99746,1024964
membench,1,pmem,rnd,0,2381.718018,1.549955331,2926129,51409346,1281799376,105822,1198563,11047,2095087,1573938568,1537816055,52281875,110623894,0,2512,4475,0,49456,878560040,6019494599,6907833556,1122879,97184,1019146
membench,1,pmem,seq_prefetch,0,27738.482422,1.175649463,3673670,51596937,1272022829,104599,203513,10623,2079120,334089747,99491541,54022353,110901920,0,1061,0,0,35788,866802672,4563306696,6924230417,99102,95293,9
membench,1,pmem,pgn_prefetch,0,4390.779297,1.358745626,3021902,51451985,1262711306,106645,274872,11972,2070425,917745683,866602813,53832148,112507466,826048,3515,0,0,35234,864466668,5274515517,6784115112,143986,97700,41012
membench,1,pmem,rnd_prefetch,0,4368.014160,1.370408872,3033890,51406347,1266292707,109875,209689,11980,2093155,894233749,858319581,51928869,107543966,1047216,1085,5282,0,50377,903749449,5320420732,7081113610,104722,100965,168
membench,1,dram,seq,500,43590.078125,1.247303662,2996585,50080421,1236066541,658023,773577,1543748,2094119,47493481,13479169,53377515,111139430,0,1068,0,0,922179,1325594953,4810362625,8903635215,102248,97831,0
membench,1,dram,pgn,500,9917.879883,1.315162592,4118128,53563862,1288985720,1051544,1203759,1457583,2092023,351195881,310823793,53814037,107490046,0,1062,0,0,983980,1368109273,5107984024,8864581101,1217571,1313911,0
membench,1,dram,rnd,500,9621.860352,1.320131065,4092953,52697776,1284873623,1066327,1149626,1458740,2093218,343560990,307077068,54006474,108152448,0,1066,0,0,994555,1376212539,5123768597,8905137191,1212086,1239556,0
membench,1,dram,seq_prefetch,500,41072.820312,1.242049735,3016281,49880917,1244257405,628261,745144,1478601,2111524,49550511,13281776,54160498,108636297,900056,1074,0,0,935016,1359730760,4818472483,8910572358,94414,92993,0
membench,1,dram,pgn_prefetch,500,39885.128906,1.239864819,3003177,51703106,1257756765,664516,807931,1500435,2117483,66346080,30236182,54084901,109469548,896356,1061,0,0,983605,1373871976,4812115066,8914612167,124305,123926,0
membench,1,dram,rnd_prefetch,500,31204.167969,1.255285209,2942989,49737432,1238456583,104479,194737,1401301,2064732,286751214,60494276,54384430,112988840,886345,1075,0,0,904269,1337335903,4870574287,8943263935,100769,98231,0
membench,1,pmem,seq,500,43873.121094,1.412864850,3071737,51975170,1266014084,617335,726225,13093,2159734,52593539,15055894,53691669,114318228,0,1059,0,0,975748,1372958048,5485938858,8960731232,101306,95932,820
membench,1,pmem,pgn,500,2404.077393,1.790555797,2934303,51753301,1271125782,108350,1263446,12645,2067410,1775748611,1521596535,55353877,110879196,0,10481,0,0,1059373,1357448023,6954231590,8783618324,1132453,100163,1032274
