exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42407.023438,0.992082087,3996324,50014479,1281115221,102777,202537,1340819,1935069,274527343,55733832,54775977,115371556,0,1069,0,0,14455,855317913,3842633455,6966768308,101815,99380,0
membench,1,dram,pgn,0,9999.600586,1.065614150,3371967,49182879,1256426448,1751131,1711823,1457682,2050563,290555761,252909405,54089370,116116796,0,1009,0,0,19998,871888597,4130177235,6920188110,1257849,1406013,0
membench,1,dram,rnd,0,9783.969727,1.065568345,3276277,49426269,1246627581,1761320,1712805,1442109,2069616,280320839,244732870,54230842,109510739,0,1064,0,0,21421,887266385,4135909598,6909565662,1287317,1431250,0
membench,1,dram,seq_prefetch,0,38959.015625,0.989326502,4039485,50443073,1292856796,107756,200439,1361451,1983474,282132016,56134146,54346255,117877656,0,1033,0,0,23951,855873792,3841138905,6944562485,106493,102888,0
membench,1,dram,pgn_prefetch,0,20397.339844,1.013234938,3309504,51888029,1267431737,101753,194188,1429384,2032255,208302713,173541409,51746454,101618947,1123393,1107,6599,0,29400,892276217,3927193443,7012632548,103023,101299,0
membench,1,dram,rnd_prefetch,0,17988.847656,1.020899958,3148246,50711851,1271466910,109794,197926,1377036,1992515,207906130,169622852,52649901,108424650,1193602,1094,6934,0,40450,889741911,3961690648,7059339354,106837,104493,0
membench,1,pmem,seq,0,28594.304688,1.155824822,3584274,51613082,1266420448,636460,761559,11567,2122716,49033545,13446693,53746181,112029430,0,10136,0,0,15771,858031806,4484379541,6747053697,102252,101291,208
membench,1,pmem,pgn,0,2400.977539,1.556931723,2988576,51746955,1267299020,106459,1204218,11677,2118928,1591174267,1555540704,52552849,109434867,0,1037,0,0,44857,885400663,6044565011,6973638721,1456798,99783,1029349
membench,1,pmem,rnd,0,2379.400146,1.545340389,2902829,53186637,1249383222,114479,1194419,12516,2148767,1567690168,1533025773,54094510,116319676,0,6696,6659,0,35233,825888755,6001604106,6737349099,1120507,97762,1018790
membench,1,pmem,seq_prefetch,0,27676.298828,1.178743793,3674530,51186778,1276374290,104093,202152,10801,2082721,119402697,113547756,53654719,109828725,42663,1064,0,0,25553,862655478,4576551489,6967567884,99734,98429,135
membench,1,pmem,pgn_prefetch,0,4488.148926,1.353614062,3017658,51372457,1257119629,101791,202748,11430,2104860,898472454,851686642,54553548,114515441,761957,3865,0,0,34125,857169746,5252829353,6772501503,96434,94160,320
membench,1,pmem,rnd_prefetch,0,4357.279297,1.361765814,2988500,51552938,1267716959,106275,205348,11471,2067817,886412492,850540107,52017041,110770460,916781,1118,6784,0,36174,880775386,5288198188,6919694896,100173,97199,54
membench,1,dram,seq,500,43495.281250,1.119190698,2958902,51477121,1255671737,107540,205314,1404204,2026140,50396122,13294046,52832169,107443189,0,1053,0,0,980684,1304579210,4341081383,8750038106,527442,106231,0
membench,1,dram,pgn,500,10069.884766,1.192450539,2979518,51501193,1259972117,1131596,1241402,1446423,2030542,367091964,329057062,51746592,105062520,0,1125,4187,0,778583,1315741986,4628824796,8915029341,1128149,1200705,0
membench,1,dram,rnd,500,9548.635742,1.198761803,2969731,51038772,1270717650,1119362,1228088,1439059,2018612,372236072,337107868,52207726,108442381,0,1037,6825,0,864680,1296805318,4640882618,8918092233,1081806,1151832,0
membench,1,dram,seq_prefetch,500,40441.625000,1.118613838,2975730,52173184,1278336254,109034,207822,1453691,2024424,46817406,12592791,52397105,106662335,1004231,1031,0,0,920567,1317013736,4338328180,8796601155,580711,102465,0
membench,1,dram,pgn_prefetch,500,39315.902344,1.117624051,2987045,51889886,1275141844,110434,203095,1431737,2031343,65153737,30342295,52617963,106961083,1000016,1014,0,0,939320,1323650475,4331732454,8819542749,565885,103225,0
membench,1,dram,rnd_prefetch,500,28430.089844,1.128071409,4157595,52436339,1291725714,109703,207614,1517755,2073278,63564482,29528223,52318994,109068514,955090,1051,0,0,980542,1371374298,4371998560,8995577866,512713,517665,0
membench,1,pmem,seq,500,42762.453125,1.294043931,3041386,51680389,1274899335,108450,216852,12812,2106847,52682972,16142738,52412854,108600759,0,1013,0,0,941787,1298743381,5024191073,8771000947,516208,99761,415
membench,1,pmem,pgn,500,2374.941650,1.682034048,2923565,49994997,1254617980,620628,1701610,12837,2087586,1507912467,1471101386,54073718,114798735,0,4765,0,0,1029374,1375982813,6528615464,8777829866,1165059,93635,1070488
membench,1,pmem,rnd,500,2362.725586,1.687404556,2950103,50501163,1251373937,506718,1731253,13695,2189707,1505532269,1468348141,54164480,111528381,0,1065,0,0,1013537,1372940434,6554438985,8868459041,1167575,97134,1067489
membench,1,pmem,seq_prefetch,500,36179.449219,1.286928896,2987923,51703334,1277857599,104841,212854,13439,2090469,61149237,25342451,52288171,110545406,986387,6001,3381,0,1003802,1354230642,4993170710,8945814953,95280,92518,0
membench,1,pmem,pgn_prefetch,500,6330.476074,1.418683649,3036591,50531970,1249463395,667013,781145,12302,2160015,526023965,490484699,54338067,111653658,871461,6107,0,0,1021463,1383600400,5507500158,8937247316,102070,98317,318
membench,1,pmem,rnd_prefetch,500,6057.852539,1.427805758,2996517,50773316,1253776006,101592,498526,16876,2154711,629679665,506875881,54360192,115307154,858859,6208,0,0,996432,1377977069,5543445207,8972060142,95994,94629,22
membench,1,dram,seq,1000,43499.062500,1.242588923,3004092,50961359,1254123553,636448,748120,1521643,2096437,49395077,13570418,53874077,112823578,0,1058,0,0,1004252,1890077077,4820151308,11144342192,100220,98763,0
membench,1,dram,pgn,1000,9934.532227,1.328135369,4095229,51968146,1260392292,1572091,1141455,1433846,2090672,347666130,308959545,54383994,108398919,0,1080,0,0,964499,1858328590,5137870025,11000108657,1187444,1231708,0
membench,1,dram,rnd,1000,9531.343750,1.331880658,2925015,49353480,1247202924,1609241,1700703,1454360,2056258,348473570,311118375,53836212,113023435,0,1064,0,0,957361,1823775935,5159028322,10964288895,1145812,1187503,0
membench,1,dram,seq_prefetch,1000,40681.828125,1.249082096,3023695,48269407,1227612771,104961,740924,1368808,2035277,54509593,14891659,54809846,116098479,892308,1080,0,0,914118,1773792019,4846273034,10918998726,100225,96406,0
membench,1,dram,pgn_prefetch,1000,44472.117188,1.247684852,3039256,50259445,1241568137,102829,729621,1531032,2092518,52246737,18404194,53294174,114963436,897158,1046,0,0,915436,1772931783,4842356085,10875799023,98470,96397,0
membench,1,dram,rnd_prefetch,1000,31306.744141,1.255695011,2962867,49440926,1238938596,106667,197687,1369854,2028246,286291541,61904354,55557623,114288743,873927,1086,0,0,900055,1783197946,4861959296,10959242274,102659,97499,0
membench,1,pmem,seq,1000,43344.460938,1.428257109,3079940,50017875,1234600978,104022,739449,19202,2161809,51854828,15262416,53726083,112737526,0,1054,0,0,917414,1772579825,5546468373,10856788040,103281,98836,606
membench,1,pmem,pgn,1000,2390.926025,1.814263583,2946443,51580211,1277438395,110407,1204456,11860,2108867,1588086010,1550073526,52457620,110307937,0,1030,6590,0,1024196,1845238616,7037745082,10917197739,1120216,99531,1021369
membench,1,pmem,rnd,1000,2380.719971,1.809110694,2959710,51164342,1283466002,104630,1197981,14225,2147676,1580000172,1542403218,52471720,107726954,0,5210,6725,0,1017305,1874263157,7025567165,10959280289,1117805,96042,1020028
membench,1,pmem,seq_prefetch,1000,39007.644531,1.412378532,3046441,52606747,1257261076,696016,810371,11521,2208078,55446106,18285432,54226667,114110615,879034,6135,0,0,1069846,1940425584,5483057849,11296445933,96310,92299,8
membench,1,pmem,pgn_prefetch,1000,11074.933594,1.487019860,4217406,52617541,1296716377,108124,211861,10479,2128077,321162516,284373781,53050295,109656588,954462,1070,0,0,1031289,1909112644,5774787728,11164982206,509395,508521,697
membench,1,pmem,rnd_prefetch,1000,10276.331055,1.486966794,4163226,52706594,1302099732,107186,204111,12325,2165680,325371741,288382004,53053855,111812273,937729,6119,0,0,1087254,1953339526,5774934010,11279430081,517720,517703,340
membench,1,dram,seq,1500,43521.785156,1.375735337,2930026,51288217,1261439600,105344,203721,1490417,2041300,47040834,12681180,52021777,107601106,0,1047,3732,0,957284,2244831186,5327667057,12703107488,105807,102841,0
membench,1,dram,pgn,1500,9940.654297,1.455413404,2903561,51094128,1261154511,1117503,1223999,1442161,2014530,364066176,330358805,51760825,110007678,0,1091,6667,0,921175,2246564360,5647505345,12760069527,1068558,1101078,0
membench,1,dram,rnd,1500,9751.911133,1.453526528,2901496,51164337,1260869780,1107008,1215486,1432511,2030473,359848885,325496295,52222897,106050258,0,1126,6736,0,934847,2304244152,5637242418,12941200360,1115252,1149911,0
membench,1,dram,seq_prefetch,1500,40515.355469,1.383739799,2961285,51050929,1265348137,108847,204194,1424111,1998973,48293909,13058435,52506956,110895063,1008549,1020,0,0,1015600,2294117269,5347618180,12626463845,522354,237563,0
membench,1,dram,pgn_prefetch,1500,47339.519531,1.373552613,2990101,50429694,1274252506,110687,208634,1398728,1981086,49578904,13672892,52813681,112177922,1008250,975,6531,0,948028,2205625024,5332788120,12732726625,105746,103521,0
membench,1,dram,rnd_prefetch,1500,32406.507812,1.391241339,2933420,51844484,1273379996,103045,198863,1463464,2068525,48730413,13591567,52666009,108906971,995885,1045,0,0,1017934,2327256038,5385021182,12829298616,570062,573439,0
membench,1,pmem,seq,1500,43738.789062,1.539612169,2968209,50964391,1275092007,104412,210497,13085,2050264,47474480,13751001,52235158,106834872,0,6258,6759,0,996658,2382676935,5972756361,13084415260,98224,97750,85
membench,1,pmem,pgn,1500,2427.467285,1.920238797,2973765,52625763,1303294984,108762,1175934,13759,2157085,1518367389,1480795978,53184780,108362873,0,8657,0,0,1087122,2422560551,7457676160,12919849527,1517335,507200,986508
membench,1,pmem,rnd,1500,2405.760254,1.932003605,4115771,53248261,1309343808,110074,1178433,12606,2140375,1522419095,1485380379,53389619,109207895,0,6139,0,0,1055460,2414956006,7505085412,13035749916,1144171,199287,1029627
membench,1,pmem,seq_prefetch,1500,40223.644531,1.536361527,2956480,52706164,1239409157,111707,214198,12592,2130891,48573206,15177331,53716252,113015197,913656,8719,5446,0,1036297,2402885240,5966358926,13012327788,105614,96852,4
membench,1,pmem,pgn_prefetch,1500,26307.480469,1.567674539,3607709,52114602,1276278086,107986,210017,11639,2146237,117862098,80881293,52830011,110099723,984980,1055,0,0,1012514,2343000290,6087267464,12932465983,517757,515453,731
membench,1,pmem,rnd_prefetch,1500,21433.009766,1.553377953,2950861,52510356,1295766301,110680,214582,12839,2142932,110302143,73977091,52716991,108028516,974686,10909,0,0,1115207,2420688220,6032683281,12931723072,101425,100874,45
membench,1,dram,seq,2000,43757.929688,1.501048252,3443018,52310124,1270221843,718739,552686,1524427,2098452,48202494,12925551,53412755,110652524,0,1058,0,0,1009265,2869331508,5824691888,15150893154,96813,94721,0
membench,1,dram,pgn,2000,9959.564453,1.584889962,4088212,52353344,1275413131,1534960,1186127,1483274,2068526,354134328,318578147,53339983,112706730,0,1045,0,0,996114,2816758633,6146884835,14936719963,1122761,1146013,0
membench,1,dram,rnd,2000,9627.047852,1.587882639,4046556,52105193,1273734232,1656054,1177466,1452051,2080578,354493382,317923476,53835526,111048187,0,1063,0,0,996029,2827399473,6158003737,15040607010,1131208,1156970,0
membench,1,dram,seq_prefetch,2000,40866.367188,1.508085827,2974810,49593463,1228684839,618960,730317,1542962,2135934,48700595,13156687,53144419,113528719,955073,1075,0,0,969880,2782960230,5848294035,14874401092,104323,101299,0
membench,1,dram,pgn_prefetch,2000,46315.593750,1.503804082,2923821,51569128,1263351997,643227,756439,1458243,2073930,50923780,13503521,54047444,111340357,959093,1066,0,0,983456,2832753146,5838815271,15086016527,103560,100138,0
membench,1,dram,rnd_prefetch,2000,32878.511719,1.511860536,2942699,50629836,1237433231,104491,783223,1579123,2185604,49168686,13191597,53082256,113954028,946988,1077,0,0,971201,2781152627,5860514482,14964882243,104064,98613,0
membench,1,pmem,seq,2000,43826.972656,1.660040107,4161168,53214178,1296287645,113130,219066,12278,2129677,49503495,13516701,53474522,108919464,5,10969,0,0,1118259,3018622464,6447654572,15188129991,528382,528325,406
membench,1,pmem,pgn,2000,2439.268311,2.053864868,2910355,51771096,1251730492,115331,1213730,13566,2150974,1760993786,1529734003,55966156,113347007,0,6219,0,0,1039325,2889793243,7977118357,14971580873,1122191,97020,1022137
membench,1,pmem,rnd,2000,2406.727295,2.073823882,2965448,51167811,1265542547,112646,1217019,13657,2113811,1577627071,1539421872,52414692,109619014,0,1100,4914,0,991653,2805306036,8056804201,14913518328,1091681,100653,1022632
membench,1,pmem,seq_prefetch,2000,40301.457031,1.665233440,4157546,53229754,1299544077,111554,214028,11823,2104216,51729177,14765053,53817356,111547752,942787,9365,0,0,1114829,3019010537,6466775573,15333451574,446149,521146,254
membench,1,pmem,pgn_prefetch,2000,29124.800781,1.694629761,3018092,50101681,1247006845,105657,206305,19204,2129484,353813426,111892741,53861224,112647928,943444,1041,0,0,970219,2771809839,6573911772,14878539659,100387,95495,641
membench,1,pmem,rnd_prefetch,2000,22463.330078,1.680222923,2928179,51176968,1279267813,660305,774337,12439,2148983,101267106,63509644,54211375,113352600,937353,7203,0,0,1090312,2982618521,6525672265,15248956188,100851,96522,75
membench,1,dram,seq,2500,43662.402344,1.630264717,2922782,50860880,1258536229,105047,203649,1478468,2057796,47503345,12494082,52174877,108116062,0,1120,7012,0,955940,3274336587,6327135084,16909257491,104939,101947,0
membench,1,dram,pgn,2500,10084.101562,1.711956751,2923839,51335625,1262021887,1101347,1218363,1449606,2008503,361766498,327448155,53695412,112819444,0,1102,0,0,981010,3263683050,6650538619,16880475177,1100028,1119983,0
membench,1,dram,rnd,2500,9715.623047,1.716020676,2915755,51098755,1263907121,1099724,1213126,1473367,2061930,362071890,327426463,51784242,109664315,0,1145,7044,0,971813,3262822180,6658543026,16882872093,1099933,1117361,0
membench,1,dram,seq_prefetch,2500,40642.148438,1.638908116,2919927,51042593,1257690751,104578,199395,1444011,2041605,48244200,12956417,52265809,109428860,1004615,1023,6460,0,987231,3231028683,6363703982,16612895198,105334,102531,0
membench,1,dram,pgn_prefetch,2500,47234.425781,1.631084232,2921191,51844559,1259088378,105784,200797,1539054,2100731,44854893,12291018,51145236,105541199,989704,1151,6626,0,979696,3236276386,6321638888,16805023630,104526,102152,0
membench,1,dram,rnd_prefetch,2500,32420.166016,1.643589129,2870292,50745189,1269987570,108532,205528,1422938,2019669,49268903,13101378,52759340,109347897,999700,1043,0,0,1000616,3258277338,6372893889,16746065424,161239,104368,0
membench,1,pmem,seq,2500,43533.148438,1.790023718,2925150,51864015,1261199276,104763,209152,11872,2092153,276056994,57605377,55829051,112826094,0,6272,0,0,1064517,3439401477,6944302970,17106590604,99109,96648,40
membench,1,pmem,pgn,2500,2444.886230,2.190357990,4166041,52229969,1283454182,111821,1196233,14723,2147923,1539143649,1500889447,53273929,111697826,0,1045,0,0,1031344,3389037673,8509535542,17046792625,1567856,542557,1013816
membench,1,pmem,rnd,2500,2427.708740,2.183527922,2911043,52914812,1287516190,112666,1192000,12658,2150305,1526144340,1490874947,54038372,111262304,0,16731,0,0,1073330,3455189861,8482796629,16989447379,1540526,527680,994268
membench,1,pmem,seq_prefetch,2500,40495.667969,1.797748834,2969936,51205678,1273078159,108213,208494,11890,2101160,50739748,14299430,53965131,108147534,932622,6287,0,0,1028772,3416408318,6980091978,17181807757,101126,97109,13
membench,1,pmem,pgn_prefetch,2500,33754.136719,1.799705431,2978039,51678014,1277782673,105269,210792,11467,2085359,78919938,43426865,53637087,109525697,936719,17446,2830,0,1066984,3440409501,6989089685,17129736427,100533,98686,539
