exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42319.085938,0.987863196,4070224,50617777,1271713306,101936,758479,1429587,2119209,52072257,13282415,53906677,111185420,0,1087,0,0,28333,864654220,3833079615,6908163738,102515,99209,0
membench,1,dram,pgn,0,10005.102539,1.068155902,3300900,49721806,1234530624,1854913,1817609,1462148,2085306,287016439,251669049,53946642,113056151,0,1056,0,0,14311,874797854,4140336991,6932391912,1184383,1333142,0
membench,1,dram,rnd,0,9690.580078,1.069834481,3265992,50151904,1242988749,1888122,1851262,1470507,2088673,282955239,246511633,54015638,112631287,0,1079,0,0,19215,883041589,4143962670,6954310550,1209266,1354010,0
membench,1,dram,seq_prefetch,0,38887.808594,0.991403815,4003758,49930145,1288216911,111021,200792,1328000,2007700,287818277,56857603,54278560,117467177,0,1057,0,0,25577,856941516,3846669511,6936887237,103715,102272,0
membench,1,dram,pgn_prefetch,0,20637.705078,1.016169237,3318897,50891437,1269943826,105247,196032,1387284,1976330,207368970,171888010,52063301,107623492,1296039,1077,6606,0,26006,875242199,3936904770,7084477780,105391,102857,0
membench,1,dram,rnd_prefetch,0,18031.664062,1.025178743,3108029,51608083,1277360916,103783,197252,1413834,1993848,204252090,169721272,51848787,108739396,1199507,1002,0,0,29180,874170781,3968314596,7108045982,104954,101484,0
membench,1,pmem,seq,0,29991.304688,1.173813746,3743207,51146513,1273299737,108877,208510,10228,2074718,332216286,99114164,54051246,109695121,0,1065,0,0,28443,862528435,4556089689,6939039958,103358,100237,451
membench,1,pmem,pgn,0,2403.222168,1.534371823,2963778,51888377,1278716331,106776,1193743,12832,2108105,1569023763,1532976496,53472667,108476532,0,9309,1818,0,18150,844441220,5957898735,6774935815,1120675,98215,1020665
membench,1,pmem,rnd,0,2383.523193,1.565587727,2982062,51254412,1273103122,107237,1208313,13795,2143048,1588521028,1552156366,52511160,109587148,0,1015,0,0,17687,866439021,6078636453,7000497592,1457718,506496,973768
membench,1,pmem,seq_prefetch,0,28380.066406,1.166081612,3637924,51429667,1275285883,102946,205881,17378,2060849,295713920,65550281,53731680,113842564,0,7067,0,0,65089,863353466,4525605109,6823416942,102078,102051,0
membench,1,pmem,pgn_prefetch,0,4500.855469,1.347620639,3019557,51183482,1262589104,106260,206000,11772,2088926,990802001,734319889,55889481,112753303,755687,6610,0,0,17839,835473976,5233200803,6705066150,101383,98149,502
membench,1,pmem,rnd_prefetch,0,4361.936035,1.349704146,2953372,51957909,1255571735,107561,211462,11886,2053329,1069758828,780680379,56003332,115703101,735192,7779,0,0,17852,841218011,5241273532,6713304391,102852,99230,8
membench,1,dram,seq,500,43830.812500,1.117341323,3014686,52042363,1277259991,108937,212256,1499983,2031437,47942666,13253566,51715902,112569217,0,1019,0,0,954123,1288035919,4334189484,8747787603,553855,104542,0
membench,1,dram,pgn,500,10027.977539,1.198345983,2949158,50714092,1262772280,1138341,1246842,1415341,1984730,372530845,335357819,51995441,110390990,0,1010,6790,0,857555,1277374393,4652115445,8860018948,1019086,1091132,0
membench,1,dram,rnd,500,9729.708984,1.198056805,2964173,51970582,1267278284,1120160,1232064,1544384,2074973,363225583,330641677,50791152,106667276,0,1057,2367,0,880489,1287233740,4643675095,8858276473,1034462,1106706,0
membench,1,dram,seq_prefetch,500,40569.597656,1.122789731,2992701,51960756,1283346241,106481,207606,1449941,2018704,47380486,12878674,52112930,110084802,1008454,1014,0,0,1028805,1322956697,4352912212,8785533831,548837,555717,0
membench,1,dram,pgn_prefetch,500,38946.875000,1.121187725,2982751,51356475,1262404262,110070,199896,1403084,2025882,69237087,31030647,53273674,108950695,1001932,1060,0,0,999778,1335454019,4348504451,8818308801,568578,405260,0
membench,1,dram,rnd_prefetch,500,28769.527344,1.133085942,4225917,51611165,1293274951,109279,205469,1430411,2012984,64901085,29959928,52866325,112411724,960050,1012,0,0,974499,1347459054,4396497156,9056141967,535215,540421,0
membench,1,pmem,seq,500,42753.316406,1.292672635,3029672,52173571,1276829299,107730,210101,10105,2072383,50932910,15363767,52381681,108259415,0,1054,0,0,883982,1305181162,5017698747,8756519663,104962,97443,622
membench,1,pmem,pgn,500,2380.453613,1.679225077,2921937,50561176,1246817219,627716,1704184,11281,2157481,1504325084,1467360988,54625089,113970272,0,4194,0,0,1047609,1366834207,6520767142,8736527961,1168839,94960,1070743
membench,1,pmem,rnd,500,2364.641846,1.675722286,4107302,53150463,1302344171,677512,1143743,11059,2158492,1495549431,1458091770,53862604,110691037,0,8383,0,0,1100111,1377013476,6506640672,8815141838,1161206,94844,1063036
membench,1,pmem,seq_prefetch,500,36623.328125,1.285610708,2994650,52158867,1275255697,109516,213706,11816,2087321,61603737,25012488,52543068,108686894,986872,6000,4497,0,999843,1343266716,4990806907,8926900075,98939,97805,9
membench,1,pmem,pgn_prefetch,500,6321.591797,1.415414130,3066295,51976721,1290766492,652419,767187,12485,2228065,526832458,488588994,53333204,106977929,870239,7939,0,0,1101576,1406760396,5493937383,9017779434,95805,93824,327
membench,1,pmem,rnd_prefetch,500,6078.399414,1.421312902,2969390,51518076,1236960977,631725,740482,11685,2208255,524828375,488265578,54883495,114803163,856679,6237,0,0,1076892,1388776807,5519810159,8924418299,98047,93891,26
membench,1,dram,seq,1000,43086.734375,1.244890332,2984659,49841175,1237990998,631047,749851,1497734,2103828,50720214,14804846,54105759,110520136,0,1077,0,0,933390,1849258016,4828819350,11083085587,102210,100377,0
membench,1,dram,pgn,1000,9949.852539,1.330739381,2941485,49336700,1233980637,1681779,1750308,1468435,2067415,345742797,309734612,53605423,112794439,0,1050,0,0,956221,1816580643,5154706937,10878161740,1106754,1151927,0
membench,1,dram,rnd,1000,9630.849609,1.329152719,2960262,49167442,1229023117,1651366,1732305,1462918,2111921,345212635,308005698,53882103,111360304,0,1073,0,0,952771,1821264378,5157576250,10942004123,1128407,1173891,0
membench,1,dram,seq_prefetch,1000,40444.894531,1.253632654,2994661,49645569,1236379619,101138,195251,1398801,2030819,273447003,55057823,53880904,115037733,895215,1067,0,0,908260,1773924771,4859660398,10800337507,103081,102939,0
membench,1,dram,pgn_prefetch,1000,44198.894531,1.249859489,3051871,50059938,1236890158,118088,750043,1470773,2101702,54578765,18938213,54239402,113771924,899039,1059,0,0,923828,1783379294,4847097771,10876764674,104740,99511,0
membench,1,dram,rnd_prefetch,1000,31101.296875,1.258540260,2969628,49598785,1240350240,105902,199453,1365903,1954069,280765513,60472546,55861361,115686987,877443,1066,0,0,896305,1770383015,4881092417,10884968684,100006,98550,0
membench,1,pmem,seq,1000,43402.777344,1.428154254,3073783,50255921,1235785610,103724,746894,18412,2178879,52567371,15608459,53685796,111993820,0,1025,0,0,923703,1777736956,5544676733,10863428226,101991,99622,686
