exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42509.777344,0.992098084,4093051,50905160,1282438619,101784,191174,1389930,2009258,280933729,55262671,53995400,115177072,0,1069,0,0,13662,852097188,3844097342,6939154217,103730,103484,0
membench,1,dram,pgn,0,9996.500977,1.065130883,3338451,51004272,1239368765,1669203,1628968,1557340,2226768,291110339,252625395,53429442,108657239,0,1097,0,0,29458,880266884,4128435424,6819560779,1330055,1472117,0
membench,1,dram,rnd,0,9768.869141,1.065185532,3272016,50256090,1257619050,1656675,1620559,1521511,2107360,279751046,244568091,53345235,110635949,0,1069,0,0,25938,875223861,4126543047,6834752874,1381013,1526203,0
membench,1,dram,seq_prefetch,0,39200.312500,0.993535383,4032011,51202598,1284507741,99729,194013,1394094,1961317,282551796,56673717,54490906,115239530,0,1065,0,0,14700,855079678,3854316780,6954285905,103829,100846,0
membench,1,dram,pgn_prefetch,0,20899.951172,1.008640731,3276899,51866370,1272683786,106530,200479,1435265,1995917,203941037,170285838,51594860,105825464,753996,1127,6819,0,31014,875755454,3914870048,6960798312,101249,101796,0
membench,1,dram,rnd_prefetch,0,17887.488281,1.018370009,3137838,51102093,1271165728,110030,200753,1394162,2001968,206211739,169365714,52321058,107436454,1189468,1081,6521,0,40642,891511053,3950530129,7067123627,108841,105999,0
membench,1,pmem,seq,0,28838.390625,1.181400571,3709072,51274123,1274260351,104774,207284,11237,2045203,127975310,124444038,53451632,111073678,0,1055,0,0,17099,855472149,4586914096,6965179671,104423,101657,422
membench,1,pmem,pgn,0,2403.228027,1.550521893,3001514,51547871,1274497684,104969,1204284,12527,2081644,1584499745,1549234082,52297127,107196475,0,1022,3821,0,57221,886079027,6022716204,6966696064,1113245,96994,1035584
membench,1,pmem,rnd,0,2386.128174,1.548263986,2941492,51807278,1278966407,106632,1195504,11691,2113493,1561794153,1527300457,52627060,106874951,0,6071,5538,0,48215,873943625,6011643320,6792430618,1120204,96150,1022131
membench,1,pmem,seq_prefetch,0,28659.865234,1.169795331,3680699,50732754,1282373781,101925,206521,11845,2079025,308294332,75038265,54746278,112169572,0,1073,0,0,33751,867837728,4541996520,6886694233,99224,96620,4
