exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42564.058594,0.987053501,4114621,50943322,1292867028,101427,378747,1398486,2040158,208585875,40682115,54164420,115062645,0,1030,0,0,24241,855838831,3830711143,6916311561,101689,98877,0
membench,1,dram,pgn,0,9844.651367,1.066401414,3284779,50731432,1242438818,1720154,1692104,1565267,2148156,287228541,252198396,52887875,111691572,0,1099,0,0,35379,877716804,4139209840,6818521021,1334917,1481895,0
membench,1,dram,rnd,0,9564.343750,1.071141895,3262903,50183353,1245444260,1682533,1876448,1499760,2133730,284785025,248310239,53634601,112903819,0,1070,0,0,20996,882153232,4158007993,6966495245,1185446,1325192,0
membench,1,dram,seq_prefetch,0,39506.953125,0.984723397,3985377,50965833,1285296755,574599,718261,1514872,2123071,49065228,13005372,53536078,112927100,0,1067,0,0,34478,863158163,3822152344,6849254295,98705,98585,0
membench,1,dram,pgn_prefetch,0,20282.330078,1.017222930,3312545,51151164,1280985465,103510,200676,1391659,1971118,207851745,175527682,51968927,108476440,1302350,1096,6551,0,31503,873517265,3936399990,7073324344,101654,98930,0
membench,1,dram,rnd_prefetch,0,17884.289062,1.015715340,3154790,51526027,1275965330,106147,202082,1452797,2030547,204361098,169847502,51945146,105331921,1096318,1072,9382,0,53704,880775716,3942653332,6983016408,105112,103034,0
membench,1,pmem,seq,0,30305.783203,1.163988464,3694948,51167818,1273875996,104052,209796,17365,2124413,295308813,61148428,53651770,116376980,0,1079,0,0,32126,867484757,4519585106,6864971057,97349,97033,250
membench,1,pmem,pgn,0,2406.206055,1.542087525,2955954,52136275,1271533801,108275,1202667,11676,2118901,1575059139,1540289875,52615741,106798340,0,11036,5360,0,22129,840964896,5989158956,6796522796,1114409,101955,1014373
membench,1,pmem,rnd,0,2386.190674,1.551579344,2980655,51437383,1289074304,109660,1204156,10465,2100621,1575668274,1538234789,52290556,107653269,0,6040,5666,0,57071,882952703,6025481446,6847167757,1124081,100154,1021919
membench,1,pmem,seq_prefetch,0,27476.300781,1.167669600,3630193,51254643,1277664818,103959,200294,17902,2098589,304804429,72828637,54350740,115735575,0,2058,0,0,35086,864136710,4531987590,6876221298,96385,95625,0
membench,1,pmem,pgn_prefetch,0,4499.923340,1.361344257,3064987,51071904,1255849147,106318,204182,11167,2107964,901382319,867066061,53114706,107781189,869001,1146,362,0,42360,886963926,5285085885,6930558874,102556,98300,584
membench,1,pmem,rnd_prefetch,0,4362.069336,1.356239207,2990997,51408492,1270784708,101808,204878,10629,2066887,882048040,847833483,53880373,108997037,804701,6269,0,0,33634,859276737,5266436946,6763578474,99472,97605,9
membench,1,dram,seq,500,43529.363281,1.113614417,2994236,51925766,1270506021,106332,206186,1447626,2036600,50167368,13642622,52075201,106808559,0,1059,0,0,889726,1300565340,4322663384,8782803289,249701,105593,0
membench,1,dram,pgn,500,9902.852539,1.199101843,2965563,51269668,1266372568,1129655,1239527,1414456,1984981,377300604,340976430,52216745,109929387,0,1016,6839,0,868535,1281637617,4653889502,8843957331,1029517,1099749,0
membench,1,dram,rnd,500,9544.717773,1.201398171,2965105,51726885,1268559333,1121773,1225354,1487049,2048329,373235731,338343133,51645010,108665405,0,1039,0,0,927673,1303982744,4665894001,8838494411,1014268,1083363,0
membench,1,dram,seq_prefetch,500,40112.312500,1.123564246,2987048,51971469,1273049466,100918,202243,1491586,2066555,49326979,13411041,51601383,109710195,1001563,1047,0,0,1068194,1346828306,4353081529,8806383765,544222,550385,0
membench,1,dram,pgn_prefetch,500,39158.867188,1.122934639,2979156,52008149,1276164854,106540,197599,1454038,2044601,66833481,31014976,52518168,108891646,1001268,1035,0,0,1024459,1329065733,4359728652,8812593938,569844,575528,0
membench,1,dram,rnd_prefetch,500,28286.142578,1.133626807,4226250,52816540,1288297903,109462,208172,1482616,2057863,65580861,30076191,52487383,111571583,958140,1045,0,0,975937,1347488225,4402052575,8987257780,370598,504908,0
membench,1,pmem,seq,500,42907.406250,1.277037170,2969543,52124103,1269657396,105781,214549,11688,2071113,50729530,14964185,52593048,110772110,0,9111,6754,0,1040868,1387076349,4959424360,8897341036,105852,102026,255
membench,1,pmem,pgn,500,2382.205811,1.678660553,2968161,52295240,1259386440,689082,1746903,12569,2162210,1504127370,1468287444,54522627,113651402,0,6224,0,0,1054656,1371961523,6518815314,8722679925,1169877,95674,1070281
membench,1,pmem,rnd,500,2360.650879,1.679909453,2945525,52525586,1285355280,652817,1699059,11728,2149192,1500941048,1462689533,54068121,112500579,0,8295,0,0,1083430,1375655226,6523360719,8827513564,1159714,94560,1063299
membench,1,pmem,seq_prefetch,500,35999.710938,1.290633215,3038972,52320918,1275250750,104191,206816,12254,2126004,57555190,20953881,52412656,107958303,985967,4568,0,0,1000429,1346368650,5011834446,8879289493,96676,96094,0
membench,1,pmem,pgn_prefetch,500,6330.395996,1.416449966,3038621,50971372,1246643779,654393,766776,13349,2188854,525106598,488651198,54311976,111150289,872749,6204,0,0,1045349,1385972366,5501030281,8918530865,99891,97385,557
membench,1,pmem,rnd_prefetch,500,6075.481934,1.424725613,3029174,50760473,1256827230,116059,721875,12196,2195148,525655716,489799199,54446778,112428586,856311,6235,0,0,1031542,1390268304,5533513542,8961697981,97096,95979,26
membench,1,dram,seq,1000,43719.671875,1.250620523,3010644,49650001,1232050184,156255,753528,1476656,2111582,49911913,13591539,53959200,112803072,0,1071,0,0,922795,1786232686,4856298212,10914446668,105919,103186,0
membench,1,dram,pgn,1000,9811.617188,1.325401179,3245995,51374946,1262337998,1638688,1597842,1398818,2022231,351219450,313271562,54297248,112451617,0,1064,0,0,960155,1844275850,5144822153,11011395194,1178945,1224224,0
membench,1,dram,rnd,1000,9482.358398,1.326779431,2961438,51467307,1266863080,1571803,1655578,1463982,2103022,347865054,310459823,54026479,113394075,0,1071,0,0,975523,1871204242,5151552775,11077298217,1202412,1232445,0
membench,1,dram,seq_prefetch,1000,40716.613281,1.251736212,2990101,49485940,1236569289,105402,382144,1414002,2053688,206901891,39173158,54055500,114055597,894025,1049,0,0,909610,1775391833,4856717147,10855598970,100585,98921,0
membench,1,dram,pgn_prefetch,1000,44251.703125,1.250312568,3011883,49569383,1236001564,112957,758147,1444622,2067835,54895934,18639758,54200841,115126775,899297,1059,0,0,919234,1781912773,4846935902,10888459876,102151,101828,0
membench,1,dram,rnd_prefetch,1000,31141.007812,1.260038741,2947592,49784204,1238453577,102241,193197,1387092,1961479,281365081,61056719,54999344,114581778,878248,1067,0,0,892680,1770435676,4889368722,10846621634,105286,102673,0
membench,1,pmem,seq,1000,43120.175781,1.409175329,4146968,53400164,1262373870,640049,218864,12946,2137319,47389843,14354095,54735117,114775591,0,6199,0,0,1102324,1972063197,5468709852,11167828159,102143,98441,396
membench,1,pmem,pgn,1000,2407.486328,1.794053525,2937177,51803484,1279896644,109576,1199598,11644,2098842,1572955621,1536394579,54704968,108386703,0,8781,0,0,1056965,1879239411,6967941762,10883894110,1118402,97198,1017810
membench,1,pmem,rnd,1000,2386.321533,1.804234451,2929837,51350148,1272772616,108249,1202100,13634,2107352,1572160207,1537607729,52839666,106936503,0,6209,5259,0,1021636,1874797040,7000529355,10908928201,1119413,98389,1017849
membench,1,pmem,seq_prefetch,1000,37857.277344,1.426260392,3104901,50119511,1241207701,104851,747355,16484,2214716,59233313,20698854,53793854,111209007,886943,1035,0,0,917604,1785194168,5537173404,10987236249,102631,96297,0
membench,1,pmem,pgn_prefetch,1000,10981.650391,1.476957432,2987092,52355243,1295978993,109879,211343,11664,2092357,316273056,280887951,53074752,108305690,950380,13525,0,0,1145790,1984694796,5733056848,11071123877,516696,519248,883
membench,1,pmem,rnd_prefetch,1000,10283.199219,1.490638979,4130537,52966393,1293693909,112480,215345,11045,2157142,323756612,286501307,53444839,113629668,938452,8298,0,0,1136770,1994731281,5774275613,11157789232,531927,531225,386
membench,1,dram,seq,1500,43591.976562,1.377921706,2936881,50815227,1273650127,107775,205783,1466633,2011509,47555664,12832389,52012925,111505619,0,1011,0,0,963293,2221351083,5333885165,12643926253,105471,104035,0
membench,1,dram,pgn,1500,10061.171875,1.453189020,2893976,49615580,1260238337,1115618,1219134,1325671,1934781,367362156,331672722,52916719,112368044,0,1032,6972,0,926631,2247945522,5638604897,12842759336,1087075,1120024,0
membench,1,dram,rnd,1500,9705.628906,1.453595262,2901593,51777079,1265686926,1099442,1212578,1462502,2053080,363803476,328632152,52003589,105572591,0,1151,7079,0,933700,2313965833,5642067250,12949065112,1126008,1152114,0
membench,1,dram,seq_prefetch,1500,40668.589844,1.380200207,2950737,51714683,1269220808,109736,198993,1399741,2010577,49627589,13499230,52789883,109592782,1005967,1012,0,0,971259,2237109385,5343017005,12673147051,107493,101502,0
membench,1,dram,pgn_prefetch,1500,47384.382812,1.372681333,2966827,51627873,1262418163,108379,204956,1456831,2056557,47776886,12692809,52421114,105164423,1008715,1039,6905,0,931115,2210627658,5321694990,12763922023,108889,105001,0
membench,1,dram,rnd_prefetch,1500,32479.132812,1.381677190,2912774,51917876,1271636042,108349,201084,1504456,2089720,46861428,12407506,52196977,106315105,988472,1057,0,0,995388,2313892619,5358358379,12841616589,550590,103686,0
membench,1,pmem,seq,1500,43706.296875,1.536263964,3008331,51869717,1274096046,104410,199729,11619,2224203,50385183,13978357,53628061,104569012,0,7325,0,0,1045384,2415387729,5962730586,13161723717,98305,95041,81
membench,1,pmem,pgn,1500,2430.712402,1.924732830,4076704,53693315,1251741566,122189,1188013,12603,2148866,1515815702,1483400222,55477601,116094276,0,6176,0,0,1086940,2407708627,7477663440,12817315816,1538295,495204,1011110
