exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42555.000000,0.986658386,4099614,51131346,1289272264,116711,729713,1553845,2129961,48733420,12897858,52749392,117571624,0,1097,0,0,26523,855625939,3826889128,6861544032,100028,103872,0
membench,1,dram,pgn,0,9872.448242,1.062622491,3484070,51735947,1264272689,1507578,1398964,1453855,2101739,287811924,251604092,54216912,111729529,0,1061,0,0,28417,861895137,4119432858,6732554062,1498887,1573209,0
membench,1,dram,rnd,0,9702.708984,1.064942546,3285779,50832676,1257148372,1656913,1625196,1518484,2127057,281864378,245563870,53722168,110937645,0,1086,0,0,28765,877062437,4134082122,6811425319,1407381,1551702,0
membench,1,dram,seq_prefetch,0,39163.468750,0.986517952,3996797,50940330,1278487512,101771,755914,1497945,2159830,48778598,12846987,53486415,112336573,0,1086,0,0,32445,861835568,3825453047,6862754819,100271,98877,0
membench,1,dram,pgn_prefetch,0,20878.570312,1.007577872,3287393,51412227,1276945575,106758,201635,1401435,1969841,204281673,170243905,52452989,107811697,555390,1146,2931,0,29942,872659195,3912260042,6923908526,103917,101746,0
membench,1,dram,rnd_prefetch,0,17754.419922,1.020230987,3150561,52080591,1270603187,100222,190094,1486320,2083816,206405974,171713737,51518012,104432363,1182621,1118,6868,0,39709,886149141,3949145748,7006882402,99807,97289,0
membench,1,pmem,seq,0,31923.382812,1.175625516,3825187,51081116,1280692795,102934,204825,9848,2030693,328880420,92668115,54141718,112284879,0,1033,0,0,25412,855916052,4564458895,6940923935,102712,99798,582
membench,1,pmem,pgn,0,2397.110107,1.547701266,2946624,51223744,1274065385,107438,1198770,12127,2079303,1583804196,1547398673,52521744,111248267,0,1423,6902,0,45519,881577238,6010914183,6853602253,1128345,99898,1025898
membench,1,pmem,rnd,0,2377.725342,1.554116046,2918764,51797462,1277301417,105814,1197931,11950,2081576,1576147982,1541796614,52959869,112681674,0,1612,2745,0,45892,875309617,6033731749,6900603315,1122509,94462,1023712
membench,1,pmem,seq_prefetch,0,27536.070312,1.166525433,3580379,51778467,1268160876,104782,201941,16318,2153377,307295843,63472366,53934511,116365051,0,6285,0,0,41907,859789367,4527206381,6807104662,97482,95545,0
membench,1,pmem,pgn_prefetch,0,4498.465820,1.359989648,3059707,50852338,1263210106,106444,210335,11624,2088880,899668208,864609366,52727653,109082630,878001,1082,1433,0,39564,882184738,5278237063,6937712881,100604,99606,86
