exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42383.656250,0.984037005,4099722,50829720,1281764745,126373,704801,1472480,2107166,50068095,13032286,53516118,113111236,0,1072,0,0,27692,861227647,3819635443,6891246136,98952,96765,0
membench,1,dram,pgn,0,9868.842773,1.062954595,3303084,51499833,1260432474,1570257,1536284,1512171,2103286,287833026,252430888,53757524,111894918,0,1072,0,0,29222,864880431,4125900639,6786098258,1450602,1582028,0
membench,1,dram,rnd,0,9791.921875,1.063370793,3283391,50531617,1253710868,1692300,1642832,1500139,2108523,280513220,244182842,53654489,109122005,0,1084,0,0,26891,876335551,4124341955,6851755555,1368325,1514164,0
membench,1,dram,seq_prefetch,0,38966.605469,0.987407271,4010757,51112164,1279965915,105015,591183,1444589,2105440,110287569,23992137,53568187,112485636,0,1098,0,0,29336,864632256,3833797008,6888514497,102828,102027,0
membench,1,dram,pgn_prefetch,0,20467.896484,1.008808558,3331005,52058318,1266958175,105531,200207,1464391,2042210,206954467,173344707,52958257,107858792,487892,1152,2929,0,51011,874494197,3913359778,6874153744,103724,103428,0
membench,1,dram,rnd_prefetch,0,17704.128906,1.018456979,3152228,51633342,1277203578,109169,200597,1438308,2006032,205698752,171527480,52029673,106374386,1177391,1086,6589,0,46867,883205431,3947523843,7014943660,104402,104867,0
membench,1,pmem,seq,0,28967.875000,1.163409414,3622378,51164560,1275902096,644628,768163,11861,2222887,50459077,13960439,53558380,111409025,0,9942,0,0,28670,857391638,4516097513,6808159313,97985,94637,187
membench,1,pmem,pgn,0,2405.517334,1.555656706,2989080,51916908,1269703373,104707,1206648,11895,2114607,1588404112,1553370069,52331990,107464717,0,998,0,0,43411,886502027,6040572005,6985100677,1081088,96285,1039977
membench,1,pmem,rnd,0,2388.567383,1.548875146,2941919,52013167,1277345782,106532,1199035,13685,2127211,1568935548,1534025811,52457623,105974807,0,6074,6637,0,51243,867553491,6007515116,6794263511,1128128,98404,1028113
membench,1,pmem,seq_prefetch,0,27932.960938,1.174582776,3661281,51475838,1267926702,106755,208027,12426,2006874,269341782,99826874,53543742,109932507,0,1083,0,0,27820,867174672,4559494932,6886650157,104109,99584,4
membench,1,pmem,pgn_prefetch,0,4500.956543,1.342983888,3036797,51374521,1262772656,106784,208094,19314,2139052,941023239,683369618,54997199,111054006,756664,9725,0,0,15632,836411047,5215122408,6717287960,99106,97847,442
membench,1,pmem,rnd_prefetch,0,4368.548340,1.369151277,3026136,51077742,1272567936,101914,204970,10606,2076451,889572195,856764363,52019679,107022041,1047960,1068,5530,0,52531,903678273,5315850079,7084004705,100208,97794,18
membench,1,dram,seq,500,43595.781250,1.118861497,2990300,51378831,1278068368,107778,208533,1405498,1978282,48391658,13497191,52733286,112466617,0,988,0,0,1005932,1301144275,4339221274,8752641160,522611,358246,0
membench,1,dram,pgn,500,9850.373047,1.192656184,2971042,51362023,1262862766,1123337,1231609,1475269,2048334,375441511,340350039,52103871,105153294,0,1078,6633,0,805196,1324344341,4623193702,8886446706,1146765,1186189,0
membench,1,dram,rnd,500,9778.420898,1.191902378,2966140,51608741,1272663397,1119625,1225112,1487540,2020244,363010263,329646486,51544469,106100229,0,1113,6631,0,829108,1331615829,4618374685,8923561524,1161095,1182887,0
membench,1,dram,seq_prefetch,500,40569.597656,1.113996704,3009362,51994746,1276877568,110338,210410,1458909,2072689,47931212,12906284,52446321,108864097,1000656,1048,0,0,921094,1322763508,4323772008,8815923893,103558,101747,0
membench,1,dram,pgn_prefetch,500,39671.519531,1.116797362,3022913,52229380,1283564558,107073,206978,1520568,2060639,64049405,30428642,52019663,108595686,997948,1008,0,0,933780,1319353277,4323365709,8802127296,407239,101061,0
membench,1,dram,rnd_prefetch,500,28577.144531,1.128537521,3248214,52296855,1286271199,107715,203321,1447686,2048196,66194666,29884241,53105663,108835595,955931,1051,0,0,988742,1395009004,4382520725,9026352562,554061,563564,0
membench,1,pmem,seq,500,42735.042969,1.281593409,3001507,52101326,1276536853,105872,208253,12584,2147274,53058513,15976696,51997018,107777537,0,6058,5364,0,906983,1360200156,4973496280,8991749001,100239,98000,498
membench,1,pmem,pgn,500,2385.240234,1.692065101,2986448,50373535,1241642976,104034,1303689,17715,2125628,1706086720,1505747813,54121118,111030780,0,1051,0,0,972106,1360242360,6562526549,8897580562,1112603,96338,1071547
membench,1,pmem,rnd,500,2361.041016,1.690091666,2972920,50728270,1250614650,106394,1730102,19852,2202031,1507079884,1470009125,53670253,110415017,0,1061,0,0,978765,1368958204,6562242875,8906922953,1143668,97568,1072693
membench,1,pmem,seq_prefetch,500,36543.031250,1.292468680,3029258,51991111,1276343944,109648,216381,10343,2088172,57959353,24260360,52819048,108443774,990823,1006,0,0,983316,1339510718,5018510166,8839137768,509045,102454,4
membench,1,pmem,pgn_prefetch,500,6314.048340,1.426593868,3064254,50387187,1251079610,221922,728155,12966,2208094,530262069,493573508,54150788,111289579,876811,1030,0,0,949088,1362893636,5538629943,8955462844,99295,98315,204
membench,1,pmem,rnd_prefetch,500,6068.439941,1.427917150,2986509,50514290,1259465989,101432,716733,18633,2171946,529219538,491874049,54064321,114467767,857824,2252,0,0,1000795,1382346791,5543347867,8988351023,96714,93668,31
membench,1,dram,seq,1000,43696.746094,1.246152243,3006105,50193861,1220728735,536844,718632,1534600,2153371,52196281,13767008,53776208,110630957,0,1094,0,0,921824,1792873339,4836356920,10948293088,99376,94536,0
membench,1,dram,pgn,1000,9796.910156,1.321729313,4171460,53076127,1285557356,1359192,1137560,1522235,2113246,348497980,312171158,53533161,111787564,0,1062,0,0,1024693,1889120301,5132501836,11067671860,1230001,1241339,0
membench,1,dram,rnd,1000,9477.235352,1.324956752,3822471,52321308,1275395185,1590781,1272291,1497268,2119186,346758432,309668915,54014532,110030465,0,1070,0,0,991955,1885969972,5146123433,11080654987,1220257,1235662,0
membench,1,dram,seq_prefetch,1000,40535.062500,1.246394429,3026871,50265560,1237077844,647218,765284,1545825,2154087,50331996,13336528,53812663,110566801,890104,1078,0,0,936827,1847367775,4838993223,11066474772,99321,97389,0
