exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42589.437500,0.989768481,4084919,50528375,1286810517,103251,209393,1399708,2023860,268149766,51870911,53530719,116446690,0,1056,0,0,26259,854675067,3836192154,6930545708,100737,99112,0
membench,1,dram,pgn,0,9852.604492,1.062117717,3305093,51733866,1258314139,1575114,1531820,1522774,2117290,287805026,251964839,53617680,111080051,0,1061,0,0,41858,866016564,4119724406,6754152781,1429824,1567138,0
membench,1,dram,rnd,0,9543.442383,1.070580626,3286012,50327727,1252266532,1842319,1848847,1545921,2097851,281420946,247331348,53382534,114287794,0,1047,0,0,25211,876244469,4154011541,6941921264,1209889,1353282,0
membench,1,dram,seq_prefetch,0,39288.101562,0.986992695,4025985,50725397,1282773895,106538,338708,1427301,2089607,221237798,41574551,53845420,113153442,0,1069,0,0,24608,861767532,3827633547,6900338018,104242,103097,0
membench,1,dram,pgn_prefetch,0,20404.832031,1.011228311,3286021,51710897,1264654164,103859,192454,1445704,2031163,210344391,174835156,51666845,104915141,751915,1117,6761,0,28645,878257956,3923212090,6945076236,102567,100687,0
membench,1,dram,rnd_prefetch,0,17779.359375,1.018845200,3150392,51807947,1273572983,105280,194053,1424472,2010576,208308692,171799684,52147442,105346149,1180939,1097,9185,0,53806,893148819,3947961335,7043109389,106113,102947,0
membench,1,pmem,seq,0,31818.761719,1.161071839,3752850,51232528,1285744742,656874,779675,13621,2174428,50478798,13853587,53658006,110929256,0,8479,0,0,26097,854329432,4474966963,6802064853,97090,96823,218
membench,1,pmem,pgn,0,2405.366943,1.544580716,2982249,51556168,1285064203,107420,1198027,11553,2153524,1569878418,1534421003,52168954,103535913,0,6155,4916,0,33147,849403175,5977510703,6829499696,1126913,96056,1026091
membench,1,pmem,rnd,0,2276.861816,1.875640760,2899348,51565182,1290280334,109044,1272751,11908,1894853,1901606368,1645941215,53724048,110935187,0,1026,0,0,19915,866522242,7275927519,6956742304,1059789,103390,952765
membench,1,pmem,seq_prefetch,0,30048.980469,1.162693278,3669563,51322304,1277876010,218699,744468,11081,2162582,51651497,14030055,53834608,117573428,0,6277,0,0,25860,859853152,4499912435,6754974052,98739,96903,0
membench,1,pmem,pgn_prefetch,0,4505.884766,1.349893072,3042149,51477671,1257879221,110262,211812,11488,2075597,1025813035,810847665,54807844,110106922,755630,5531,0,0,38654,850228080,5239960223,6746697936,103885,101651,269
membench,1,pmem,rnd_prefetch,0,4361.441406,1.357761791,3007276,50943156,1282336018,103451,204211,11914,2064815,887187748,850010472,53371914,110998737,828983,5379,0,0,32701,866415466,5271670376,6828366585,99598,97723,13
membench,1,dram,seq,500,43576.781250,1.119004334,2983833,51419359,1277585404,105661,210072,1446836,2011369,48073471,13160931,52097268,111288599,0,988,0,0,985818,1293752677,4342355412,8774193611,519619,209424,0
membench,1,dram,pgn,500,9989.311523,1.192258548,2986075,50891089,1264503011,1130072,1239833,1416442,2001853,372979884,336487510,52385555,111281948,0,1069,6691,0,785827,1312299359,4629829876,8916336301,1132638,1194328,0
membench,1,dram,rnd,500,9763.623047,1.192329911,2947121,51473720,1269582586,1120617,1226203,1443683,2030821,363343043,328928520,51845963,107276212,0,1108,6637,0,815269,1330357047,4626983991,8930510614,1151494,1183521,0
membench,1,dram,seq_prefetch,500,40408.937500,1.119010572,3009612,51742566,1282730578,108968,210753,1426206,2016839,48492711,13030661,52632102,111403376,1004619,983,0,0,948273,1308911999,4340916911,8819936688,577956,101025,0
membench,1,dram,pgn_prefetch,500,39143.539062,1.118308541,2993401,52130344,1274642025,106842,204167,1447190,2021900,64713043,30246704,52668129,107540798,998685,1031,0,0,995893,1315574604,4329052348,8796852096,539927,382448,0
membench,1,dram,rnd_prefetch,500,28523.347656,1.131359173,4198743,51711521,1302944460,112644,209422,1414420,2000333,65622748,30259956,53468000,114015362,957317,967,0,0,979354,1351365222,4393049329,9021589555,514975,520178,0
membench,1,pmem,seq,500,43094.160156,1.295093528,3043184,51613512,1275708916,107341,212447,11173,2114307,54116742,16090516,52108629,107282352,0,1019,0,0,967293,1299938757,5028930539,8773279726,537929,101708,355
membench,1,pmem,pgn,500,2376.166016,1.678687519,3226919,52543876,1280858628,630118,1545932,11998,2188761,1505255445,1468459725,53926316,108631464,0,6160,0,0,1057335,1370326964,6520587786,8811274581,1176181,94264,1079931
membench,1,pmem,rnd,500,2359.982178,1.695467634,2967913,50024210,1251968863,108871,1248088,17994,2085185,1787240406,1546033107,55148767,111178699,0,1031,0,0,964876,1362820367,6584672706,8964254335,1108173,101334,1064919
membench,1,pmem,seq_prefetch,500,36576.445312,1.287512235,3003402,52220815,1276551500,111203,214564,10978,2111047,55662588,20987566,52619098,107017462,985355,5977,4779,0,1001354,1345995956,4995477097,8922949229,99690,98959,0
membench,1,pmem,pgn_prefetch,500,6311.577637,1.420125405,3036613,50772423,1256876173,630207,749375,12686,2148467,529365353,491400337,54256787,115014877,871156,5882,0,0,1030356,1382653134,5512527207,8945533943,95819,95837,341
membench,1,pmem,rnd_prefetch,500,6086.464355,1.424528402,2997328,50730520,1260531130,616684,734072,10309,2180857,525876104,488936527,54128730,109933408,859562,6199,0,0,1057983,1396377682,5529392296,8964559269,102122,98310,26
membench,1,dram,seq,1000,43633.828125,1.242411372,3006099,49920363,1240915247,626945,738438,1516095,2104840,49150956,13076147,54095271,110460792,0,1064,0,0,939429,1849518674,4822204105,11069511466,102548,99275,0
membench,1,dram,pgn,1000,9952.329102,1.327264568,2950106,51186862,1249868510,1628043,1708424,1476403,2071145,345169336,307841096,53768111,113233303,0,1049,0,0,960206,1820577545,5152957666,10938472915,1142713,1186731,0
membench,1,dram,rnd,1000,9649.622070,1.330927725,2942716,49607866,1231389554,1664335,1734889,1479422,2074674,344409238,307101478,53509915,112889621,0,1047,0,0,951063,1814273008,5159437418,10899572909,1104683,1149040,0
membench,1,dram,seq_prefetch,1000,40645.449219,1.252031481,3034926,50180400,1231496207,96729,315098,1441771,2089375,222518686,43050325,53750257,113732414,893913,1083,0,0,911399,1776596444,4850502939,10814895444,98925,98221,0
membench,1,dram,pgn_prefetch,1000,44302.675781,1.249994839,3012249,49998379,1238467774,110180,751335,1468261,2077758,54523369,18388435,53988842,114732501,899560,1053,0,0,920962,1774361060,4832385579,10867639119,103968,100340,0
membench,1,dram,rnd_prefetch,1000,31294.007812,1.259353071,2961738,50662150,1250189918,100832,194909,1427487,1985871,279571520,60616239,54728892,114886132,878058,1056,0,0,892751,1762736253,4881744412,10858778909,104189,102307,0
membench,1,pmem,seq,1000,43476.371094,1.409512896,4195985,53316931,1317268508,109796,213425,14215,2161412,52121248,14373573,53205293,106835540,0,6387,0,0,1169225,2009925780,5472823294,11355247092,100059,190583,456
membench,1,pmem,pgn,1000,2405.141113,1.796893469,2935763,51219587,1279006215,107810,1199520,10989,2115291,1574715203,1538092905,54356036,107186194,0,6814,0,0,1043774,1881355272,6980051787,10889442106,1117874,94679,1019079
membench,1,pmem,rnd,1000,2378.217529,1.819183780,2964022,51744588,1279703728,108789,1205964,12565,2130701,1590084756,1553331230,52378391,108397454,0,1022,0,0,1010197,1851555534,7062533507,10923735046,1103128,98497,1025428
membench,1,pmem,seq_prefetch,1000,37953.546875,1.411873045,3181377,53625378,1253801686,633710,690498,12045,2274773,57437595,20621202,54349589,109330699,876966,6116,0,0,1091030,1948993550,5480722133,11311150914,99725,95379,4
membench,1,pmem,pgn_prefetch,1000,11053.143555,1.478278042,3248289,53127918,1282148163,110489,212473,12851,2176129,317088379,282473929,53235101,107338817,949887,6056,0,0,1093474,1951251183,5741141093,11113991589,505513,505931,596
membench,1,pmem,rnd_prefetch,1000,10305.666016,1.484628122,4144837,52466837,1304527298,106653,209711,10950,2102396,323421918,285385494,53020480,112764053,936802,6130,0,0,1107486,1967106007,5762087555,11256894226,493747,496126,368
