exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42564.058594,0.989509269,4110127,50761692,1276959418,102809,197038,1403162,2065483,280048452,55844492,53572891,114393921,0,1078,0,0,21800,860205476,3840269941,6928876650,103691,101173,0
membench,1,dram,pgn,0,10020.241211,1.066769575,3325415,50067779,1241319307,1829416,1778543,1464125,2075822,290832820,252835547,54037754,112735289,0,1054,0,0,20643,876925651,4137261449,6935188811,1196239,1341620,0
membench,1,dram,rnd,0,9530.708008,1.065885037,3259498,50084417,1251176471,1696247,1673647,1516773,2125004,283226522,246723963,53843681,111222103,0,1076,0,0,31306,873215856,4138910488,6810577137,1426218,1541147,0
membench,1,dram,seq_prefetch,0,38895.371094,0.991165755,4017356,50730376,1285828040,102485,195402,1390178,2010044,282942369,56595680,54082401,115610969,0,1057,0,0,20917,855556883,3846979574,6941193871,106707,104257,0
membench,1,dram,pgn_prefetch,0,20806.890625,1.010658713,3302267,51452678,1271748740,108399,200221,1415959,1985568,204435917,170409445,51615963,106297647,677497,1112,6865,0,31246,871266731,3906566825,6930066869,102266,100590,0
membench,1,dram,rnd_prefetch,0,17962.351562,1.022184509,3169567,51833822,1284731274,100770,197203,1477491,2018749,203335888,169721755,51243828,110219636,1191219,1005,6724,0,36762,874084648,3964138137,7108292108,102989,102154,0
membench,1,pmem,seq,0,28838.390625,1.155710288,3605711,51175867,1274783746,627063,741493,12571,2191999,51706382,14002362,53655976,113621804,0,6885,0,0,17819,857548060,4487435776,6802214847,102032,98162,199
membench,1,pmem,pgn,0,2399.220703,1.555783015,2997690,52017194,1275973029,109967,1206958,12587,2108013,1592746649,1555024172,52167861,109365208,0,1041,0,0,43104,887433184,6041132256,6989627829,1287031,96321,1034587
membench,1,pmem,rnd,0,2387.421143,1.546395916,2960611,51785265,1281822599,104709,1191680,11473,2130456,1568866803,1533523225,52461272,106210577,0,6070,6915,0,55196,864685677,6006050071,6819213950,1119270,94923,1019930
membench,1,pmem,seq_prefetch,0,29704.439453,1.169968288,3733206,51192336,1280354038,101875,201608,10491,2082061,310221091,76236370,54709868,114776731,0,1073,0,0,35129,865852967,4542567659,6907364758,98512,95237,4
membench,1,pmem,pgn_prefetch,0,4497.394043,1.364002678,3065825,51291431,1261412718,105197,209711,12851,2053873,905291976,868322797,52739648,107352896,876389,1125,0,0,34450,885650108,5295818126,6922708416,104461,97298,1272
membench,1,pmem,rnd_prefetch,0,4357.981934,1.372521578,3040137,51194172,1267634482,103283,210060,11966,2107773,894738178,859414928,52095737,108595907,1047514,1012,6574,0,35296,897037619,5327275129,7175658598,106088,101520,160
