exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42464.648438,0.985142499,4087926,50479542,1278097274,103800,749986,1437643,2108610,49452288,12898611,53891498,110375485,0,1084,0,0,24139,859152242,3812664116,6906587653,103055,100857,0
membench,1,dram,pgn,0,9900.303711,1.067709246,3310460,50269221,1232126967,1846899,1804923,1508904,2125677,288438682,252490766,53432382,112036492,0,1089,0,0,19485,877636123,4145888556,6944070608,1176708,1320781,0
membench,1,dram,rnd,0,9606.240234,1.071881457,3264520,50176812,1244371827,1852446,1837802,1492268,2092870,283953994,247802960,53776444,113348436,0,1059,0,0,20017,883507642,4157820779,6963790050,1202765,1348761,0
membench,1,dram,seq_prefetch,0,39068.601562,0.993648346,3986626,50514298,1277547099,105092,431945,1398708,2082942,174440986,34552769,53980945,115730563,0,1071,0,0,24879,865697665,3833906363,6886042785,99695,99652,0
membench,1,dram,pgn_prefetch,0,20182.042969,1.015842706,3267198,51636765,1273698803,102135,197299,1419984,1995593,208646599,173795047,51807709,106827220,1113382,1122,7005,0,25303,881141871,3944399884,7031218715,105214,99843,0
membench,1,dram,rnd_prefetch,0,17838.029297,1.020818080,3134922,51451472,1274799329,106394,204547,1401747,1991456,205428454,170033400,52005602,109181679,1184640,1019,6486,0,37568,882732037,3960781046,7099250936,107909,102006,0
membench,1,pmem,seq,0,32273.679688,1.157684056,3755896,51422623,1271596914,388734,780697,12532,2198814,48778296,13549658,53766441,111836592,0,6252,0,0,33503,862427275,4493680740,6760880486,99622,96293,275
membench,1,pmem,pgn,0,2400.775879,1.553810509,2980180,51453804,1269073737,105429,1215225,11053,2121932,1589844876,1553179867,52544662,108462915,0,1035,0,0,44082,887919771,6029631207,6973909333,1305201,97532,1033680
membench,1,pmem,rnd,0,2379.083252,1.546877356,2982920,52243380,1283269779,110550,1191679,14011,2203389,1574076115,1535441360,52306082,108896792,0,7194,6575,0,42846,851942404,6005332918,6875172100,1120649,96366,1023449
membench,1,pmem,seq_prefetch,0,29601.562500,1.168838275,3726838,51418944,1281916506,103941,205390,11607,2076281,308679244,74209627,54831623,113009483,0,1067,0,0,38844,864117633,4536328996,6914142691,97709,95902,0
membench,1,pmem,pgn_prefetch,0,4487.887207,1.353692092,3058434,51543361,1256742771,104703,206764,12999,2055740,897936815,852199692,54497139,115073367,763903,7379,0,0,50364,864473753,5256782217,6764382797,100458,98818,771
membench,1,pmem,rnd_prefetch,0,4361.707520,1.367611542,3029412,51149249,1269501599,106608,205210,12140,2105302,891353119,856180459,51965346,106774224,1001635,1082,5225,0,32222,895334807,5309002661,7017280044,102084,102277,159
membench,1,dram,seq,500,43607.187500,1.112500902,3024542,52488464,1269968660,105203,205741,1506387,2096877,48637804,13174071,51799219,108567941,0,1052,6750,0,894269,1304127484,4319790539,8823360693,105489,103052,0
membench,1,dram,pgn,500,9820.674805,1.198430721,2955502,51134506,1261586334,1136067,1235781,1404759,2008913,377317266,342123947,52243459,108423794,0,1015,3710,0,896027,1291144359,4645544611,8800822210,1002953,1072932,0
membench,1,dram,rnd,500,9639.761719,1.198313696,2948124,51807893,1274937997,1093805,1206185,1450264,1996265,363763352,329390098,52348833,106611198,0,1015,9495,0,932588,1328145546,4653817036,8928590391,1155553,1163730,0
membench,1,dram,seq_prefetch,500,40497.304688,1.121984186,2982107,51601503,1278303164,105617,205405,1421517,2008104,49172717,13348897,52514568,110980380,1006837,1024,0,0,1024006,1328263046,4355278221,8782001024,520390,526890,0
membench,1,dram,pgn_prefetch,500,39588.281250,1.115718142,2968427,52248477,1280404954,110284,201018,1469891,2051596,65596384,30606183,52268292,105580542,997094,1034,0,0,937834,1326749536,4326531676,8816280780,104353,101095,0
membench,1,dram,rnd_prefetch,500,28555.925781,1.132768680,4201788,52077296,1286428028,104872,204773,1461476,2049072,65567796,29951930,52779989,110664175,959210,1044,0,0,970860,1346247082,4392292273,9023586312,501623,508249,0
membench,1,pmem,seq,500,42846.734375,1.298151829,3050495,52091126,1268328334,104593,213201,11492,2138884,52404068,16282623,52112927,108786169,0,1016,0,0,1040382,1320923144,5040656819,8739618316,526243,525003,936
membench,1,pmem,pgn,500,2384.961426,1.671271785,4152746,53639891,1318680293,111031,1147301,12144,2149784,1499270740,1461885061,53422282,108129375,0,10985,0,0,1105971,1372363294,6491794308,8787665317,1164323,97157,1042345
membench,1,pmem,rnd,500,2361.091064,1.685678010,2971112,50565545,1257522098,679618,1774307,13110,2184168,1502700307,1466256138,53896213,110054387,0,4377,0,0,1030601,1375015106,6539619432,8840128990,1168865,97486,1068098
membench,1,pmem,seq_prefetch,500,35977.695312,1.285471941,2985902,52051518,1277854912,105870,214379,10339,2064674,61046710,24446565,52489164,108401664,984412,7139,6307,0,1016868,1376930875,4985145157,8916618260,102643,99541,0
membench,1,pmem,pgn_prefetch,500,6313.928223,1.420492901,3072283,50770565,1242297806,621176,729351,12832,2162052,526384584,490120898,53913130,110739198,872712,3000,0,0,983357,1371416128,5516908735,8952480987,101950,99080,292
membench,1,pmem,rnd_prefetch,500,6085.871582,1.413361383,2997540,52695011,1287264082,693165,810786,11818,2184279,520979983,484471186,53883389,110105923,898560,9419,0,0,1151801,1403236389,5487215624,8961363551,101258,101067,17
membench,1,dram,seq,1000,43932.871094,1.247452685,2995774,49750967,1229891598,638560,751960,1478640,2104251,51006924,13698470,54232346,113427187,0,1068,0,0,920675,1811607870,4841091372,10999888375,98686,97736,0
membench,1,dram,pgn,1000,9876.542969,1.320094334,4146414,52074120,1270754347,1580348,1146039,1485395,2093524,345077443,308723611,53901052,109515451,0,1055,0,0,965756,1859612682,5125450443,11015844819,1196266,1237989,0
membench,1,dram,rnd,1000,9642.271484,1.319315685,4122026,53237115,1289199156,1484931,1134994,1514010,2134722,340043439,304197149,53369331,108925425,0,1082,0,0,1003853,1895771935,5117746561,11103699059,1231121,1235472,0
membench,1,dram,seq_prefetch,1000,40652.058594,1.244395785,3038318,49586698,1232623268,642997,754534,1503063,2118567,50602100,13226701,54257684,110761486,888845,1076,0,0,920614,1837604890,4831240128,11057088537,98121,96863,0
membench,1,dram,pgn_prefetch,1000,44312.492188,1.243850202,3048547,49865813,1244501800,660159,770456,1520033,2111136,53839560,18292102,53962830,110475778,895276,1076,0,0,926993,1835708565,4822984127,11076604443,100916,98234,0
membench,1,dram,rnd_prefetch,1000,31250.000000,1.252258642,2968039,50193029,1246193454,100237,196730,1460278,2095255,280756549,60812834,54166950,111444211,872560,1072,0,0,898792,1807971904,4862006695,11005590202,98948,97319,0
membench,1,pmem,seq,1000,43412.199219,1.414400852,3270426,52334936,1272975663,645785,645194,11460,2168993,52406766,15021890,53641704,113764088,0,6166,0,0,1057869,1943542985,5489752344,11297567380,94932,91181,287
membench,1,pmem,pgn,1000,2401.761963,1.809614385,2959679,51072376,1284242995,108706,1209422,12165,2078561,1585031957,1549232506,52422204,106529930,0,3145,6779,0,1000226,1865001570,7022357586,10924184695,1126127,99087,1026700
membench,1,pmem,rnd,1000,2380.640625,1.809382448,2951729,51398413,1277229415,107850,1201393,12799,2090437,1578805792,1542368852,52570879,109078371,0,6113,4905,0,1010769,1868971654,7028716528,10928473595,1122014,97421,1020882
membench,1,pmem,seq_prefetch,1000,38058.992188,1.424258898,3091576,50100055,1246345849,105232,730802,17572,2175513,56124067,18849387,53739825,109620195,875599,1050,0,0,913051,1828109651,5531121055,11061173468,100408,97568,8
membench,1,pmem,pgn_prefetch,1000,11066.354492,1.487128641,4231316,53517747,1281218822,108971,213661,12460,2146850,320598106,284086741,53081898,108697145,955543,1049,0,0,987437,1868206281,5775025470,11095843509,210322,494874,673
membench,1,pmem,rnd_prefetch,1000,10376.242188,1.484189192,4190823,53281703,1300751516,114847,213204,12879,2215815,321611559,284098880,53143092,108832394,936418,8014,0,0,1131317,1982995405,5762774593,11188500182,504484,502731,335
membench,1,dram,seq,1500,43748.359375,1.377849219,2939406,51614097,1264774538,105340,199868,1458764,2040557,48399573,12547838,52219004,108637206,0,1021,4108,0,961462,2225478168,5346504905,12674473003,102215,98130,0
membench,1,dram,pgn,1500,10035.022461,1.449384621,2923899,50972462,1272303374,1110620,1218969,1420096,1974812,364731532,330368279,52492279,110789455,0,1145,2850,0,939064,2302927909,5618170889,12941973308,1124921,1152600,0
membench,1,dram,rnd,1500,9605.041016,1.458275302,2910994,50717753,1258929387,1109779,1215427,1425663,2032641,371424954,334203548,52362038,107863396,0,1079,6908,0,934946,2259499544,5656368094,12843512898,1082805,1115360,0
membench,1,dram,seq_prefetch,1500,40625.636719,1.377162900,2944458,50373510,1262278512,108582,205216,1363276,1971419,49567092,12917111,53170159,108016450,1004138,1032,0,0,976168,2249070505,5340514154,12711278882,114022,102538,0
membench,1,dram,pgn_prefetch,1500,46910.917969,1.373659804,2931246,50727926,1268110368,109503,204014,1381985,1973359,48575432,13174094,52818225,111440393,1008607,992,4773,0,956108,2211192539,5332132135,12712178565,108459,105674,0
membench,1,dram,rnd_prefetch,1500,32442.253906,1.384558169,2926080,52408294,1275462712,102295,204051,1519454,2080601,45054240,12856987,52029080,107931474,994903,1037,0,0,1011337,2297809214,5364165852,12814411081,526615,302469,0
membench,1,pmem,seq,1500,43834.656250,1.553177866,2993197,51187842,1268922956,109874,210579,12849,2126463,51431449,14485581,52289021,110574250,0,1013,5244,0,960714,2212436524,6030314425,12698905654,103343,100163,178
membench,1,pmem,pgn,1500,2428.599121,1.921546275,3770442,52863180,1297695109,113768,1183233,12769,2172828,1519981490,1483054625,53740210,109543219,0,7459,0,0,1090064,2418553213,7464769535,12925107531,1517694,498443,992920
membench,1,pmem,rnd,1500,2408.924561,1.931462798,4095632,54285930,1294886833,115581,1180150,13865,2160376,1519900353,1483752340,54105862,110095498,0,6132,0,0,1061996,2416126805,7503145327,12986540374,1150329,514483,1024520
membench,1,pmem,seq_prefetch,1500,40230.117188,1.539004719,2982555,52188791,1263087990,113273,205296,11995,2181861,50565763,14694547,52404990,105713850,938101,6142,4931,0,1009289,2384231402,5977069825,13118032015,99926,95384,4
membench,1,pmem,pgn_prefetch,1500,26327.566406,1.547104974,2976848,52720848,1276969157,110962,211988,11937,2163015,112735818,77073631,52581310,106167537,995765,16800,7640,0,1052780,2386065723,6007174785,12961012956,101414,98440,672
membench,1,pmem,rnd_prefetch,1500,21383.513672,1.560590520,2879794,51583736,1292467187,109691,219568,11069,1969935,106639866,74140094,53697683,113066005,961951,6185,0,0,1119515,2495445917,6060440963,12990746883,532686,492445,45
membench,1,dram,seq,2000,43848.109375,1.501810663,2934777,51023049,1248751082,663853,777234,1478680,2104386,50906596,13517816,54043732,111261263,0,1081,0,0,981041,2830358280,5830384545,15067484516,97871,96983,0
membench,1,dram,pgn,2000,9939.073242,1.580588903,4098458,52930007,1285473475,1065436,1176983,1410867,2076410,357094218,317768831,54204656,109646848,0,1069,0,0,1002089,2878282513,6139456662,15115700688,1156365,1579396,0
membench,1,dram,rnd,2000,9575.242188,1.585678944,4053147,51664985,1285875748,1643405,1181224,1453886,2021544,353579910,319881455,54000218,114648365,0,1023,0,0,997483,2816836990,6154658435,15017923587,1129887,1153996,0
membench,1,dram,seq_prefetch,2000,40660.324219,1.500710186,2950395,51576829,1263425209,687590,799585,1535303,2101659,50085936,13243726,53476757,113639175,949526,1064,0,0,975721,2841102193,5826404098,15096261009,96743,97358,0
membench,1,dram,pgn_prefetch,2000,47305.925781,1.505794307,2920493,49200549,1235448252,662765,767765,1468894,2088535,50876728,13497610,53940379,112792893,957727,1062,0,0,973895,2797301763,5844510567,14889816928,105042,102699,0
membench,1,dram,rnd_prefetch,2000,32170.892578,1.512799480,2909352,50642087,1239251073,510204,737345,1614225,2208274,48556417,13557652,52921947,111074102,946561,1083,0,0,979317,2801595115,5871706522,15013939083,102350,96652,0
membench,1,pmem,seq,2000,43685.289062,1.681587402,2989881,50421468,1250499318,604528,722215,13158,2192411,51982777,14287146,53548555,112116110,0,1050,0,0,983733,2797526997,6529856690,15029966338,99482,95865,159
membench,1,pmem,pgn,2000,2439.845703,2.055650692,2916468,51235811,1268682498,108789,1212113,11824,2077066,1766298851,1532767767,55258463,111184384,0,6253,0,0,1039036,2901103277,7981134704,14978369065,1119530,96730,1021539
membench,1,pmem,rnd,2000,2413.476807,2.059689651,2919268,51021134,1267709939,108302,1209288,12041,2088276,1564314548,1529044558,54390418,108603970,0,6226,0,0,1024996,2883512684,8001500053,15015163579,1118547,95660,1020523
membench,1,pmem,seq_prefetch,2000,40304.703125,1.668320969,4144610,53174946,1306302453,107373,210355,12319,2067670,49215786,14231601,53674765,111174162,944749,6165,0,0,1080179,3017715111,6480208987,15340837678,96404,313224,278
membench,1,pmem,pgn_prefetch,2000,28781.949219,1.673455583,3867194,53168142,1268483419,670244,348994,13127,2187069,98154967,63509769,54821842,111857759,930913,6646,0,0,1080002,2991073021,6500104123,15236309459,100727,96386,488
membench,1,pmem,rnd_prefetch,2000,22770.744141,1.685632650,2894663,51474332,1237102755,702144,814236,11861,2186563,99192883,64139753,55368752,114945809,922503,7154,0,0,1058737,2967164337,6547520204,15215916797,100144,96487,35
membench,1,dram,seq,2500,43909.722656,1.627613442,2907677,51443901,1264567577,109440,203125,1498496,2055018,46980841,12521205,52014643,109345919,0,1119,6779,0,984456,3333634276,6321318368,17026151060,100233,99978,0
membench,1,dram,pgn,2500,10018.433594,1.720067958,2878718,51120671,1252538004,1099026,1212288,1456395,2031618,362536420,328035255,53870855,110683310,0,1082,0,0,973000,3278695595,6640410351,16884273619,1102723,1123779,0
membench,1,dram,rnd,2500,9712.226562,1.716754996,2875862,50761179,1253608333,1102481,1208568,1438001,2022388,362552365,327664076,51968173,108504526,0,1088,6716,0,966008,3264916827,6664829457,16805528538,1082375,1103690,0
membench,1,dram,seq_prefetch,2500,40726.558594,1.635548428,2941558,50056106,1268453815,109683,208796,1375087,1983918,50419412,13378414,53106102,113077951,1001997,1055,6585,0,966583,3232314880,6353386779,16878306108,107121,104690,0
membench,1,dram,pgn_prefetch,2500,47678.074219,1.630403079,2914672,50895436,1259709014,108117,207335,1437166,2010967,47356033,13044372,52164703,110331516,994875,1098,6988,0,954351,3223155666,6332344236,16810886240,104296,99710,0
membench,1,dram,rnd_prefetch,2500,32384.468750,1.638949387,2882665,51213208,1281651646,113256,210928,1455746,2029889,47088611,12805126,52538368,108832842,996857,1013,6831,0,982049,3271782342,6365622505,16973159248,104195,101863,0
membench,1,pmem,seq,2500,43704.382812,1.794202318,2925694,51052153,1261075917,107502,212277,12743,2061607,48352977,46953302,54821490,110009294,0,8099,0,0,1033807,3430732647,6968059404,17152924408,98914,97567,44
membench,1,pmem,pgn,2500,2440.429199,2.177775471,2925388,52264837,1284943526,112380,1186461,12746,2186636,1531940132,1493557585,53722311,112757548,0,6738,0,0,1066399,3434155477,8458194872,16985904457,1504103,497878,995716
membench,1,pmem,rnd,2500,2427.508545,2.191193258,4142239,53377604,1286046934,114406,1196831,16165,2163206,1531710226,1494517724,53684577,108801274,0,1034,0,0,1053612,3393015095,8513402570,17094513817,1167301,503981,1018156
membench,1,pmem,seq_prefetch,2500,40485.828125,1.795424939,2949401,51848175,1265768128,109504,211998,11459,2101286,51322061,59144345,55174166,115100215,910152,7800,0,0,1050171,3448326517,6972948566,17143118358,97840,95147,4
membench,1,pmem,pgn_prefetch,2500,35180.300781,1.813538219,2989540,51356864,1266988623,110946,209352,13432,2110438,80336332,43894262,52298295,105798888,1001210,1100,4898,0,1018146,3235474714,7044731657,16820197193,103052,99352,348
membench,1,pmem,rnd_prefetch,2500,25943.027344,1.807201873,2916945,51513374,1285946609,103063,216493,14558,2062000,82183523,44235166,52705219,112141619,981923,16700,8298,0,1042965,3434737411,7019666352,17127360057,97877,99262,63
membench,1,dram,seq,3000,43957.976562,1.750730802,4121111,53216573,1285055190,108786,210318,1481280,2093344,49418769,13121369,53798042,108957820,0,4571,0,0,1041337,3941442476,6800189175,19291584412,226443,553924,0
membench,1,dram,pgn,3000,9869.817383,1.843752070,4058811,53029261,1272399805,1080097,1190157,1490081,2111312,360111130,323820476,53171284,109838062,0,1052,0,0,1001845,3825309686,7151123818,18947212602,1109393,1358205,0
membench,1,dram,rnd,3000,9567.455078,1.843960762,4059641,52583536,1281070485,1078607,1186217,1468920,2070772,360572278,324066210,53427440,111767604,0,1047,0,0,1008812,3828697324,7163839105,19053229315,1121202,1317901,0
membench,1,dram,seq_prefetch,3000,40908.160156,1.763039048,4070068,51750242,1280819023,698821,214362,1438553,2027499,49760494,13341155,53878244,115185502,973508,1040,0,0,1000127,3821700348,6843000061,19082411310,101118,98799,0
membench,1,dram,pgn_prefetch,3000,47746.371094,1.760258013,4115961,52164485,1294001009,136650,211227,1476838,2052757,49358900,13361908,53338422,114542339,976375,1033,0,0,1007932,3823880573,6836396420,19091486490,99768,97215,0
membench,1,dram,rnd_prefetch,3000,32354.082031,1.770062518,2903008,51301497,1258411458,656827,771448,1605246,2172936,49290084,13237033,52809178,113269186,969941,1094,0,0,997448,3831183643,6871244021,19095052219,101401,98073,0
membench,1,pmem,seq,3000,43614.796875,1.922241681,4086541,52749748,1294639926,112957,214975,11932,2162325,51115647,14330536,53611761,109989931,0,8461,0,0,1084508,4036978290,7467885604,19236421523,530436,529103,577
membench,1,pmem,pgn,3000,2458.935791,2.315607697,2946079,51240226,1261955917,114316,1216104,12043,2131757,1751971230,1521433368,55761133,111037907,0,1057,0,0,1027413,3877508771,8992016867,19049126174,1123739,97838,1020781
membench,1,pmem,rnd,3000,2443.954102,2.306235030,2895963,51512497,1255052404,115947,1701540,19004,2184717,1509500735,1460643205,55084513,111685563,0,7098,0,0,1050258,3931366992,8959563914,19054354567,1116491,99032,1014687
membench,1,pmem,seq_prefetch,3000,40513.714844,1.934004685,4156953,52988362,1276776840,356045,219084,13068,2144572,50498030,14133626,53530709,109840481,970745,1048,0,0,1024806,3864717783,7508210532,19169736257,102916,96717,281
membench,1,pmem,pgn_prefetch,3000,39234.148438,1.920887424,4168046,52971832,1289110988,112440,216205,14050,2146609,66839314,30286563,54120627,108842689,963538,8111,0,0,1085504,4023842798,7460996044,19210003160,530869,526413,683
membench,1,pmem,rnd_prefetch,3000,28395.378906,1.944167403,4118981,52833757,1288294703,675441,219667,13479,2202593,66030183,30795920,54379948,111131937,963173,6176,0,0,1054028,3974126628,7549672087,19411720720,102536,97128,88
membench,1,dram,seq,3500,43491.496094,1.893230768,2918744,51305072,1257107365,108813,210164,1538599,2072358,49330200,14639986,51166000,110557844,0,1110,6740,0,984084,4244786423,7351911759,20863613812,111782,108276,0
