exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,43149.949219,0.990153861,4091479,51159895,1281484177,101153,200540,1423011,2088026,277030068,52913706,53668621,112370094,0,1079,0,0,23361,861894045,3843446946,6910302530,101751,98016,0
membench,1,dram,pgn,0,10041.975586,1.060825136,3333436,51933631,1264310810,1529999,1483738,1515667,2107835,285737611,250446223,53402819,109150220,0,1070,0,0,29444,866751731,4112917313,6772438162,1435220,1585634,0
membench,1,dram,rnd,0,9681.479492,1.061295290,3495435,52478432,1273671449,1522613,1391050,1508541,2133667,280498896,244124260,53670435,109639661,0,1071,0,0,31312,861065031,4117925378,6745944818,1545017,1556829,0
membench,1,dram,seq_prefetch,0,39165.000000,0.988699807,4001017,50997024,1286461785,105367,456986,1457353,2084499,164836029,32389139,53411047,114268768,0,1066,0,0,31600,856589767,3837842417,6900988055,104903,102652,0
membench,1,dram,pgn_prefetch,0,20613.455078,1.008085959,3259327,51660481,1276287058,102264,196791,1436829,2001651,204879905,171385439,53132680,107605783,485186,1118,0,0,28223,870048804,3913563139,6890604415,98095,98290,0
membench,1,dram,rnd_prefetch,0,18008.931641,1.023725399,3118374,51688828,1274745866,100897,195768,1434336,2030847,203448962,169000383,51722602,108067919,1195404,1017,6495,0,36737,882550356,3971755521,7086960216,101501,101089,0
membench,1,pmem,seq,0,29626.117188,1.156231693,3605524,50884915,1276858575,605126,726526,11650,2160140,51542296,14052864,53408580,113772494,0,6931,0,0,16473,862729626,4487596628,6798294557,99039,97845,257
membench,1,pmem,pgn,0,2400.015381,1.555448810,2979212,51509589,1271328971,101438,1206567,12717,2105278,1590903161,1554618619,52580809,110678439,0,1025,0,0,44660,882860635,6038347134,6992577015,1445904,99577,1037156
membench,1,pmem,rnd,0,2381.933594,1.554636096,2962773,51722782,1274447123,107686,1199092,13283,2112656,1578598932,1540850867,52695081,110198082,0,1035,0,0,48926,882185624,6037402685,6923484204,1275408,99632,1026502
membench,1,pmem,seq_prefetch,0,28583.677734,1.162523865,3632001,50939010,1284473301,102926,587326,16827,2163304,110930261,24487580,53388767,110955203,0,6244,0,0,33499,866229669,4513735204,6829872425,100206,100158,8
