exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42114.128906,0.994372802,3810717,50715791,1272565472,95564,189946,1398924,1968833,276387353,55996791,54282131,113436112,0,1077,0,0,15291,853355783,3846469921,6969474517,100801,100695,0
membench,1,dram,pgn,0,9990.409180,1.065322139,3281060,50540218,1249111939,1702322,1671637,1430895,2075609,289477024,252417966,54254039,108906368,0,1075,0,0,24501,876961743,4120249603,6823683594,1343194,1488717,0
membench,1,dram,rnd,0,9678.574219,1.070229655,3249091,50024604,1245151503,1778477,1757673,1495183,2084640,282563134,246701687,53603321,114130443,0,1057,0,0,27053,881218651,4146458778,6904725856,1256316,1400225,0
membench,1,dram,seq_prefetch,0,39368.531250,0.989258027,3988820,51182494,1278952719,97709,188785,1441563,2102177,271178579,54915950,53290062,111042105,0,1089,0,0,26039,860719965,3830943817,6899789642,97624,96444,0
membench,1,dram,pgn_prefetch,0,20578.248047,1.013065680,3260536,51118797,1269903909,107945,200385,1343192,1974115,204921132,169581253,52416830,105021159,1040506,1091,6628,0,22751,881975921,3917596484,7033353565,108681,105226,0
membench,1,dram,rnd_prefetch,0,17738.673828,1.022357506,3152352,51306638,1273388223,101189,202111,1449303,2014145,205500127,170474451,51723825,108930415,1184461,1010,3691,0,35845,877172659,3961020537,7109716675,108435,103952,0
membench,1,pmem,seq,0,29595.429688,1.168184020,3697115,51195645,1280374755,103372,206146,17126,2073145,307908415,75118053,54736924,116166213,0,1049,0,0,42461,867374697,4533803306,6907514346,100051,96476,219
membench,1,pmem,pgn,0,2402.356201,1.557310588,2996806,51845386,1266108788,107995,1207694,11831,2115679,1591787059,1555594365,52431471,106333511,0,1037,0,0,46788,888048256,6046530498,6960130862,1268400,98065,1033385
membench,1,pmem,rnd,0,2370.387207,1.554989448,2920541,51724402,1281926655,109826,1196644,11936,2094165,1579842092,1543022955,52550557,111166491,0,1030,0,0,51924,875386845,6039228244,6885309845,1233816,98376,1007802
membench,1,pmem,seq_prefetch,0,28551.033203,1.167133664,3696192,51344004,1279969523,105754,203449,17635,2134305,309706034,72132228,54531346,110902485,0,1054,0,0,35277,859952720,4531407136,6860450903,99986,97833,4
membench,1,pmem,pgn_prefetch,0,4474.292969,1.361027825,3059000,51474801,1255695585,104168,207799,12865,2032211,901276877,863255894,51768437,109773227,926693,1136,8485,0,56756,894645000,5284142846,6975229888,101680,98146,1174
membench,1,pmem,rnd_prefetch,0,4359.482910,1.364221610,3040015,51326351,1273172343,108090,207817,12650,2120861,889229484,853706757,51688852,105399651,930591,1100,5715,0,38798,889510415,5296298502,6935521042,100969,100590,0
membench,1,dram,seq,500,43399.011719,1.114658728,2983258,51566550,1266146242,108095,208843,1433422,2034148,49038509,13053103,52313718,104477749,0,1043,0,0,872527,1303983151,4319454715,8766198501,165783,101760,0
membench,1,dram,pgn,500,9872.642578,1.197412131,2982001,51515174,1272133986,1130512,1243052,1448736,2015688,375221344,340187674,51880848,109961855,0,1036,6519,0,833310,1278024366,4645769162,8860848178,1066873,1137374,0
membench,1,dram,rnd,500,9674.455078,1.200966907,2956378,51113231,1271494568,1123423,1230359,1413698,1983381,367816068,333862529,52277700,111064819,0,1001,6416,0,906201,1295198456,4660434279,8849848064,1014063,1084586,0
membench,1,dram,seq_prefetch,500,40311.203125,1.123323724,2994948,52029675,1272740576,110286,206251,1435042,2032487,50507336,13490841,52617313,109053840,1005841,1035,0,0,1028277,1325379353,4347219837,8786582286,535410,540542,0
membench,1,dram,pgn_prefetch,500,39163.468750,1.122321312,3013358,52088691,1277316740,105673,204573,1511265,2081413,67315517,31175049,51939924,111192417,1002091,1024,0,0,1011459,1315183327,4354533520,8825823276,540881,426567,0
membench,1,dram,rnd_prefetch,500,28502.208984,1.134131640,4205576,51841367,1287664600,104096,199716,1474320,2041065,65699878,30205149,52503526,111835205,959459,1045,0,0,973334,1350056931,4399483957,9030382224,513979,523510,0
membench,1,pmem,seq,500,42775.257812,1.287511167,3001831,51992368,1267772690,106122,213208,13183,2106136,51921390,15213434,52350927,110518253,0,6099,5164,0,891623,1308222772,4997520838,8907631173,100096,96961,486
membench,1,pmem,pgn,500,2384.295898,1.678165055,2952236,52498664,1281355325,638757,1682918,14135,2193628,1506709165,1468908798,53751405,108661888,0,6169,0,0,1065781,1369275460,6518650449,8788727531,1169236,95025,1071155
membench,1,pmem,rnd,500,2356.578613,1.702193269,2967604,50752880,1247996584,105949,1246711,11704,2075569,1853276610,1592150570,54306256,112932656,0,1068,0,0,961389,1357757958,6609715171,8991410687,1085754,100852,1040629
membench,1,pmem,seq_prefetch,500,36774.167969,1.285855089,3001567,51304213,1287604359,105026,215228,12282,2069992,55043287,20208838,52036053,105891315,987138,5312,5103,0,993490,1353454728,4987529169,8936647394,101504,101309,0
membench,1,pmem,pgn_prefetch,500,6290.217773,1.435771044,3086545,50596587,1247308769,102332,202627,10487,2054850,841337607,584197721,54691058,113341894,880723,1081,0,0,895679,1319340868,5576077087,8882057238,100991,94060,421
membench,1,pmem,rnd_prefetch,500,6097.635254,1.423814225,3012036,50449440,1257437995,286394,732296,14779,2206340,525390816,488575064,54073840,109370874,855799,6135,0,0,1031782,1388419750,5525812718,8996093671,99158,96920,4
membench,1,dram,seq,1000,43765.589844,1.250164878,3000963,49559959,1229320581,105828,738181,1456106,2080791,50523037,13458541,53856339,113665582,0,1082,0,0,912402,1774555229,4838920920,10833702174,106699,105444,0
membench,1,dram,pgn,1000,9981.235352,1.324189402,2940750,51840921,1239810057,1632483,1691610,1460579,2120691,346119565,308366225,54141332,102600212,0,1091,0,0,961311,1836586453,5139813578,10925207744,1147207,1191045,0
membench,1,dram,rnd,1000,9608.916992,1.331200744,2925828,48923262,1231833653,1653974,1728737,1463999,2076851,345316241,308274860,53768030,112885610,0,1075,0,0,948032,1817830224,5162190225,10931248389,1119702,1163151,0
membench,1,dram,seq_prefetch,1000,40526.851562,1.248043161,3021301,50875852,1230128446,637337,757767,1655223,2206726,45908229,12828668,52173750,111563606,891410,1102,0,0,917932,1810100030,4846673340,10993687020,97067,93101,0
membench,1,dram,pgn_prefetch,1000,44618.953125,1.248499839,3018148,49534952,1234423237,103156,749296,1440420,2077949,55916659,18985603,54379691,115001499,898483,1047,0,0,914476,1779703563,4843830884,10863051139,103947,101868,0
membench,1,dram,rnd_prefetch,1000,31125.500000,1.254907793,2961400,50032649,1235588058,101701,197433,1440812,2088739,282563131,60582441,55096335,109930051,872894,1097,0,0,897472,1787466220,4862958156,10940858165,101942,98452,0
membench,1,pmem,seq,1000,43571.085938,1.425978556,3069162,50121082,1229992914,105229,707653,18639,2153632,51965991,14782742,53678510,113788768,0,1046,0,0,917878,1773597938,5536776300,10840999772,102239,96128,467
membench,1,pmem,pgn,1000,2399.957764,1.801784151,2957850,51062911,1288220142,105615,1193256,13239,2155757,1580149989,1542469393,51813200,103678102,0,6149,7131,0,1022011,1877652059,6997726436,10964245999,1119884,96716,1019973
membench,1,pmem,rnd,1000,2379.909912,1.807867244,2955569,51554809,1275638435,111800,1203833,13917,2126467,1576569395,1540755755,52609731,108087169,0,6176,6305,0,1017510,1877140022,7022825983,10911430910,1121475,100411,1020574
membench,1,pmem,seq_prefetch,1000,38948.394531,1.411265962,3167520,52686279,1277461176,678618,742788,12473,2267914,55687653,18257919,53435095,107368221,879017,6110,0,0,1086296,1956213753,5479827218,11329678851,101019,97160,13
membench,1,pmem,pgn_prefetch,1000,11046.062500,1.469669066,2973838,52879333,1288944647,110425,213428,12906,2150531,317567694,281297223,53222312,107590911,947159,16941,0,0,1177875,1933994748,5707845194,10940331121,526226,175890,605
membench,1,pmem,rnd_prefetch,1000,10354.431641,1.488502474,4188568,54007879,1295804006,107967,211498,13695,2129894,320041365,284549762,53248985,109138831,940881,2499,0,0,1036078,1913379146,5777685458,11184660018,97510,490567,329
membench,1,dram,seq,1500,43569.187500,1.374710362,2941421,50465358,1255846750,106653,197927,1416685,2027327,48998267,12989532,52791942,107865874,0,1051,6483,0,936658,2239563256,5338383485,12827727576,101558,100151,0
membench,1,dram,pgn,1500,9863.294922,1.453359983,2914613,51481902,1256239627,1116882,1220698,1499963,2046303,363426029,329730408,51406494,106083632,0,1121,6952,0,929199,2254063054,5634284357,12818284868,1090444,1122904,0
