exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,41820.003906,0.987580356,4070135,51183434,1274079266,103161,767940,1515805,2185624,51142689,13249945,53196183,112230080,0,1098,0,0,29495,865511674,3827657418,6879661805,104858,100881,0
membench,1,dram,pgn,0,9987.814453,1.071625769,3207134,50069624,1232773695,1527610,1989435,1448500,2076139,292694956,254998514,53833324,114144693,0,1371,713,0,19837,872422002,4157059916,7049257675,1000232,1144748,0
membench,1,dram,rnd,0,9542.166992,1.068060954,3285842,49451036,1247696670,1765187,1740188,1501355,2114089,284826442,247625777,54220279,111078186,0,1056,0,0,24900,881106795,4135813309,6896863560,1323165,1465626,0
membench,1,dram,seq_prefetch,0,39208.000000,0.986187445,4002387,51293429,1288063679,101352,733789,1488344,2123364,47505523,12947627,53140320,112993467,0,1086,0,0,26899,854221233,3815396078,6861939412,98512,96773,0
membench,1,dram,pgn_prefetch,0,20424.419922,1.011783240,3278106,52162116,1269105579,104048,194961,1458365,2049071,207128460,172791229,51476823,103381303,961232,1140,6727,0,23295,882051263,3918572125,6988782460,106220,103111,0
membench,1,dram,rnd_prefetch,0,17696.609375,1.019968064,3143230,51921438,1267373063,106156,197930,1460589,2057204,210324460,174619183,51872029,104296264,1177662,1093,6557,0,43389,893091769,3949615399,7017047453,105149,103094,0
membench,1,pmem,seq,0,32031.775391,1.160313086,3752578,50649517,1291036045,623096,739786,11626,2154502,50599439,13320280,52711135,108590370,0,6259,0,0,31897,870846565,4504236220,6826657878,97349,97545,352
membench,1,pmem,pgn,0,2396.139160,1.548905203,2958706,51664505,1274299776,106460,1203948,12427,2104663,1585604777,1548494894,52580523,111293003,0,2860,6950,0,54597,881373924,6015689278,6874187180,1124676,96184,1025144
membench,1,pmem,rnd,0,2384.500732,1.560073562,2993434,51726346,1277464929,105975,1204695,13610,2139829,1585293883,1547433668,52235580,106398527,0,1023,0,0,43791,885535280,6059194246,6977103567,1496264,159030,1031985
membench,1,pmem,seq_prefetch,0,30017.410156,1.158000327,3657600,51435426,1273638152,611387,732625,12483,2155445,50371902,13831538,53974974,117313827,0,8512,0,0,22639,856109282,4495986183,6747964255,99139,97060,4
