exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42997.808594,0.985276273,4130348,50937378,1278116185,102369,705371,1473195,2143102,50311097,13306010,53604245,112855499,0,1073,0,0,24393,859242079,3822502476,6879612320,100483,100339,0
membench,1,dram,pgn,0,9962.739258,1.065984386,3307903,50718926,1260922499,1661694,1631976,1538303,2096027,287266287,252551861,53420075,113069022,0,1048,0,0,28776,870518301,4134943462,6818634524,1335487,1483796,0
membench,1,dram,rnd,0,9578.085938,1.073138548,3224197,49343776,1243213434,1478113,2014550,1416423,2072128,283569100,248369016,53928821,115405700,0,1066,0,0,14237,878382863,4165034486,7038200181,1064883,1205238,0
membench,1,dram,seq_prefetch,0,39561.656250,0.987703853,4018049,50065452,1272174042,106915,203260,1367991,2062890,283089400,55973457,54358821,113838572,0,1098,0,0,23784,867403416,3825175319,6902729849,102507,102584,0
membench,1,dram,pgn_prefetch,0,20572.322266,1.014461097,3347007,51980639,1276966071,104800,197331,1422547,2024521,204895930,170041603,51933179,105272221,1026182,1093,9477,0,29170,877691026,3926825477,7016630190,104729,101508,0
membench,1,dram,rnd_prefetch,0,17736.156250,1.025730307,3139834,51891208,1271884969,102376,197649,1476073,2053004,208098826,172128124,51511938,105809483,1183737,1044,3697,0,29606,877263152,3964217995,7077178305,106203,101482,0
membench,1,pmem,seq,0,32064.642578,1.161436633,3760741,51110398,1279025289,104645,755256,16630,2196321,51126700,13989429,53519441,110202227,0,3482,0,0,36179,862337450,4509432137,6830622554,102400,98011,299
membench,1,pmem,pgn,0,2399.508545,1.559825222,3019767,51484728,1268757487,105547,1209322,11721,2137917,1595589792,1558464071,52401478,107864732,0,1039,0,0,21958,871599884,6056613739,6995157002,1505091,548764,1007452
membench,1,pmem,rnd,0,2383.279053,1.561885091,2989446,51824245,1273225248,108042,1207988,12581,2154839,1583814819,1546919421,52460693,108749674,0,1029,0,0,34131,882411928,6062374456,6986627650,1499688,491335,1034644
membench,1,pmem,seq_prefetch,0,30785.332031,1.175345375,3817345,51316733,1285197448,103553,208030,10561,2026460,127082595,99894157,53876646,111285179,0,1078,0,0,22955,854794259,4562066286,6951261324,104508,101358,112
membench,1,pmem,pgn_prefetch,0,4498.122070,1.367132527,3090028,51023126,1259035941,107215,209587,12307,2091435,904470217,868648247,51901841,106765245,1065105,1065,5297,0,25657,886816995,5305764121,7142220562,107628,104129,341
membench,1,pmem,rnd_prefetch,0,4361.726562,1.372632789,3023392,51231982,1269328543,102064,208065,11658,2089691,894054051,858516439,52049930,108036251,1050093,1066,5166,0,48245,900280989,5327834721,7090603503,102567,98139,132
membench,1,dram,seq,500,42360.316406,1.121453138,3015974,51712591,1263029305,105701,204690,1452176,2054127,50563635,13718661,52394717,108674268,0,1050,0,0,1031884,1315917561,4350156870,8777171312,585546,582877,0
membench,1,dram,pgn,500,9989.910156,1.192441757,2967032,51421772,1253929250,1131456,1228974,1467472,2057227,367990278,333111084,51951575,104195718,0,1112,6890,0,784529,1301303927,4617701539,8863129446,1099142,1169411,0
membench,1,dram,rnd,500,9649.156250,1.197971150,2974069,51364109,1276720055,1123807,1226880,1468801,2029345,367827975,333687231,51761292,107256985,0,1015,6802,0,876625,1284881030,4638382947,8882187714,1050716,1119289,0
membench,1,dram,seq_prefetch,500,39285.011719,1.116628431,3023161,51478426,1278549134,107193,212976,1435450,2033637,47587762,13266900,52501499,107328225,1000812,1040,0,0,963544,1310859066,4330393919,8805061854,528590,102636,0
membench,1,dram,pgn_prefetch,500,38574.292969,1.124783190,2985457,52036722,1282000788,106231,201568,1456698,2023746,65643968,31255759,52537600,111091842,1005137,1026,0,0,1023842,1328686618,4359724850,8801476720,528649,535364,0
membench,1,dram,rnd_prefetch,500,28019.837891,1.128050911,2965219,52126118,1286462285,110879,202078,1448495,2062011,65260713,28648961,53019931,106027554,953451,1056,0,0,986933,1400358996,4371062960,9016604504,535733,541487,0
membench,1,pmem,seq,500,41495.496094,1.281289333,2999457,51308742,1288758765,104544,211619,12026,2062621,53566445,16434171,51811562,104929455,0,6068,5878,0,918025,1363656931,4975388765,8975560454,100266,101013,841
membench,1,pmem,pgn,500,2384.819092,1.678118991,2969450,52096737,1280460603,651441,1703481,12999,2135693,1506670849,1467967764,53676209,108879124,0,6190,0,0,1053822,1375086850,6518624950,8774465975,1170458,97971,1071743
