exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,42587.621094,0.985376462,3999437,51684597,1271586773,647592,770246,1482597,2099131,50537438,13166085,53665866,113406924,0,6285,0,0,32216,863001343,3822520074,6789757130,100178,100605,0
membench,1,dram,pgn,0,10016.627930,1.068679922,3293254,49834707,1234344630,1798582,1757960,1494649,2127123,288273418,252251742,53593391,110871502,0,1070,0,0,17866,878794705,4134553439,6881781328,1240840,1386089,0
membench,1,dram,rnd,0,9703.838867,1.071404063,3272775,50014885,1250884675,1792188,1770345,1504383,2103085,283083809,246523382,53759295,113996200,0,1040,0,0,20747,881489816,4146966687,6895272711,1289453,1434209,0
membench,1,dram,seq_prefetch,0,39097.628906,0.993424368,3990708,51300224,1281448995,102383,195518,1393545,2026897,277279980,55413788,54075815,115021104,0,1071,0,0,24376,857043850,3844483705,6910455825,105303,102165,0
membench,1,dram,pgn_prefetch,0,20454.498047,1.014351744,3330455,51058857,1279138859,105416,202702,1435188,1977544,207389581,173316737,51610763,110273620,1217509,1103,6998,0,22864,872348558,3928544058,7061884847,106845,106220,0
membench,1,dram,rnd_prefetch,0,18015.746094,1.022554782,3148553,52001279,1281900007,101293,197447,1463208,2019981,202149051,169009141,51245476,108368633,1196990,1032,6776,0,39701,881009755,3970594643,7089709428,102525,101885,0
membench,1,pmem,seq,0,29240.619141,1.166484007,3663621,51072507,1279630878,101303,200702,17773,2121137,299829990,67702784,53757176,115305535,0,1059,0,0,32788,867277863,4528496043,6874279582,96910,94413,246
membench,1,pmem,pgn,0,2407.283447,1.539236645,2940943,52033103,1265621716,111252,1205002,10779,2061230,1571510900,1537465379,53165428,109722913,0,8565,5750,0,24041,843996600,5977004950,6685985959,1127229,103968,1022597
membench,1,pmem,rnd,0,2383.704834,1.564668636,2983271,51719087,1278482234,110020,1204604,12023,2120213,1586653546,1549617198,52232302,107743507,0,1013,0,0,33927,885808034,6067137406,6994514844,1531837,557568,1026525
membench,1,pmem,seq_prefetch,0,29548.208984,1.160407466,3662511,51414416,1268596680,105419,780088,18144,2147814,48066995,13051387,54124274,112475939,0,6266,0,0,31899,860445917,4505853084,6767902147,99286,98124,0
membench,1,pmem,pgn_prefetch,0,4496.746582,1.353378611,3017391,51316537,1264350528,103684,205216,12438,2045994,946891876,824656008,54825505,115011852,748746,5574,11,0,32173,858153837,5253687571,6716824682,99557,98261,130
membench,1,pmem,rnd_prefetch,0,4364.868164,1.351345981,3001433,52121427,1263809246,110175,204987,12277,2140779,924104773,811764923,54956423,108867360,732701,17480,0,0,30242,836180485,5246014641,6824993517,101617,97182,13
membench,1,dram,seq,500,43650.964844,1.120555141,2958163,51662213,1264293704,105892,204326,1410373,2006625,50123292,13547143,52394143,107974558,0,1055,0,0,982818,1302261628,4347822099,8766764492,569941,106120,0
membench,1,dram,pgn,500,10002.600586,1.192498047,2991704,51838606,1260402886,1134836,1235543,1483850,2067266,372855796,336838772,51695867,109205962,0,1094,6537,0,796452,1291121092,4623646304,8855697349,1082232,1153853,0
membench,1,dram,rnd,500,9663.049805,1.203465320,2945925,51333535,1265098280,1131802,1232402,1410166,2013071,368862410,333796589,52285055,108205025,0,1028,0,0,929860,1310342417,4661201948,8821551603,990029,1061176,0
membench,1,dram,seq_prefetch,500,40487.468750,1.120034660,3002813,50579747,1262952839,110865,212151,1387248,2016570,51488032,13661376,53104755,110269576,1006171,1065,0,0,1024851,1324940279,4348103055,8814546018,523101,529919,0
membench,1,dram,pgn_prefetch,500,39044.199219,1.123969938,2971028,51867679,1287101501,111213,208160,1434461,2004374,64944510,30702996,52234562,111280459,1002615,1015,0,0,1019912,1348790000,4354945800,8797780740,551367,559534,0
membench,1,dram,rnd_prefetch,500,27822.601562,1.139589335,4272171,53667042,1289821622,110962,212034,1487155,2053273,65716940,30038230,52644174,112985129,947936,1032,0,0,961498,1338947457,4410119395,8983629356,103856,504874,0
membench,1,pmem,seq,500,43025.554688,1.300008145,3051517,51924882,1269422067,112618,218188,11948,2141522,52297404,16051957,52265889,107878328,0,1026,0,0,1005894,1301875306,5036973498,8759655170,529705,285202,884
membench,1,pmem,pgn,500,2386.765869,1.673680315,4100480,53771207,1284955176,656998,1150292,11974,2143967,1500635939,1464007932,54422033,110786902,0,9916,0,0,1100880,1364163417,6498265533,8739616941,1167220,95809,1065646
membench,1,pmem,rnd,500,2366.460693,1.685412734,2933633,50456710,1261043583,636841,1719940,13334,2147847,1499850037,1463386373,54110485,110363275,0,5732,5,0,1039273,1376221783,6536886634,8815683127,1166586,96074,1068718
membench,1,pmem,seq_prefetch,500,36632.718750,1.306613918,3081617,52199995,1272066209,111797,215311,11963,2143586,59971426,24248949,52381767,108157733,993897,1024,0,0,1083248,1356433868,5057190554,8842331097,560288,562121,439
membench,1,pmem,pgn_prefetch,500,6360.513672,1.417471360,3062959,50475213,1254926708,620480,732630,13525,2296275,525324526,489197607,54080474,110281272,873468,4576,0,0,1037132,1389337190,5502906726,8939660164,97523,95962,531
membench,1,pmem,rnd_prefetch,500,6104.074707,1.424338981,2976960,51343489,1247922549,630475,742943,13675,2173390,523066113,487354181,54640604,111842809,858066,9707,0,0,1083402,1397371322,5521465632,8940931919,100526,96949,26
membench,1,dram,seq,1000,43546.417969,1.241327197,2993049,50006735,1237995727,638099,748146,1510219,2125257,49030522,13114955,54091090,108514086,0,1091,0,0,928969,1838167119,4808867064,11036780344,97587,96991,0
membench,1,dram,pgn,1000,9852.702148,1.329355361,2946218,49875137,1244454393,1620330,1709118,1496878,2102401,348221339,312225939,53336317,112486913,0,1057,0,0,956163,1817626449,5162276382,10908760749,1125110,1170200,0
membench,1,dram,rnd,1000,9553.562500,1.332790170,2941829,49870103,1238677065,1650694,1732971,1481229,2082368,346966646,310531357,53797990,113642242,0,1054,0,0,956954,1817043450,5171741186,10924723661,1123688,1165775,0
membench,1,dram,seq_prefetch,1000,40497.304688,1.252986819,3011430,49719937,1232828930,101074,220092,1397395,2030499,272066999,50722609,54321123,115067515,894730,1061,0,0,912239,1774897897,4855356756,10827575268,99261,98535,0
membench,1,dram,pgn_prefetch,1000,44642.859375,1.249238415,2986822,49790642,1236652794,620651,726332,1492561,2097052,56115349,18895293,53812558,113853348,896608,1084,0,0,922389,1790732931,4838654343,10958214199,97195,94579,0
membench,1,dram,rnd_prefetch,1000,31015.445312,1.258393772,2974038,49235963,1241486692,103756,197822,1396304,2022989,288762640,61192766,55779453,114105283,875195,1086,0,0,900628,1782711330,4867749406,10971165934,103254,100110,0
membench,1,pmem,seq,1000,43196.546875,1.423960801,3096365,50429165,1236296625,192677,750305,13566,2201616,51383220,14949711,53733117,110707311,0,1039,0,0,936737,1781922393,5529468118,10968219572,103546,98879,511
membench,1,pmem,pgn,1000,2405.580811,1.795411221,2929661,51285738,1283811012,109240,1202335,13041,2049350,1571476632,1540483266,54348364,107886164,0,9117,0,0,1075173,1884038128,6969639362,10888807223,1120259,97650,1019777
membench,1,pmem,rnd,1000,2379.932373,1.820627016,2960251,51714053,1270530029,112674,1209154,12738,2109521,1588374412,1551695868,52214535,105883073,0,1039,0,0,1111235,1852891252,7064858530,10918916332,1098523,98587,1026289
membench,1,pmem,seq_prefetch,1000,39317.449219,1.415594429,3683800,52396365,1286711372,629132,463629,10647,2166273,53359003,16705054,53634094,108652678,880726,7785,0,0,1095974,1973881370,5484948064,11330456880,95830,96325,4
membench,1,pmem,pgn_prefetch,1000,10999.164062,1.480890392,4186920,52557125,1288684683,106780,212186,11808,2143122,319835932,283071570,53328978,112577972,948713,3678,5,0,1072705,1936719305,5751600462,11128634314,514998,515309,659
membench,1,pmem,rnd_prefetch,1000,10352.181641,1.484811381,4048848,52647547,1289340688,113278,213278,13442,2170586,319202462,283185114,53370551,107229513,939267,9839,0,0,1151675,1997239041,5765224971,11147684343,565409,565537,382
membench,1,dram,seq,1500,43734.964844,1.374695522,2948953,51283176,1258646259,107767,200474,1411907,2029524,51420572,13443693,52842301,109646186,0,1057,9224,0,946920,2233230508,5331241072,12822000158,104280,102514,0
membench,1,dram,pgn,1500,9857.169922,1.453491879,2938490,51115420,1270918644,1103681,1208034,1406873,1983001,371689271,336850118,52768361,109845879,0,1077,7052,0,935732,2298006980,5625477961,12940768910,1121836,1149200,0
membench,1,dram,rnd,1500,9769.441406,1.454510730,2915428,50817195,1267821216,1118135,1219315,1440968,2017681,359219268,325883035,52139544,106595213,0,1071,4177,0,926320,2261685278,5644597305,12878870190,1095273,1129056,0
membench,1,dram,seq_prefetch,1500,40700.042969,1.374091706,2950659,51471617,1265100069,103922,199128,1463935,2064160,47974639,12595815,52368944,107357509,1001729,1019,6551,0,935424,2250418234,5332208773,12853548488,104892,102673,0
membench,1,dram,pgn_prefetch,1500,46783.625000,1.372455379,2951887,51558868,1271367287,105637,201933,1481361,2039538,45104904,13027324,51936229,107397930,1007915,1050,6526,0,920066,2249611696,5328680330,12853091173,99624,98890,0
membench,1,dram,rnd_prefetch,1500,32350.943359,1.381018967,2912348,51187440,1280632272,106679,200655,1429730,2025633,46668941,13003383,52760776,108237683,992261,1008,0,0,983683,2314848444,5361167921,12884251818,259903,100057,0
membench,1,pmem,seq,1500,43702.472656,1.541154929,2997122,51749625,1258884114,113724,215028,13740,2134663,49570147,13479480,52323977,107024102,0,4328,5259,0,979089,2355436359,5983515928,13077709525,103549,102539,63
membench,1,pmem,pgn,1500,2424.507080,1.927414899,4127650,52948606,1309633847,107112,1180302,13551,2088046,1523846447,1486173404,53015586,106903489,0,6010,0,0,1056326,2416794557,7484464823,13001252365,1155788,547753,1022783
membench,1,pmem,rnd,1500,2405.019775,1.934532365,4094438,52442118,1284860308,585433,1185473,12546,2145778,1524491983,1488073371,53718368,108817189,0,1027,0,0,1034528,2394505051,7515065910,13031313235,1150791,96356,1049270
membench,1,pmem,seq_prefetch,1500,40215.554688,1.544045398,2975023,51859580,1268214903,108355,214012,11639,2058856,48436065,14227701,52719630,107924912,940303,6375,5377,0,1005754,2395710545,5979687499,13034307845,100850,97997,9
membench,1,pmem,pgn_prefetch,1500,26191.722656,1.562519497,2946969,51987582,1276151855,107182,217349,11539,2080450,114540706,79399675,53176397,113650911,978128,1049,0,0,1058428,2387628325,6045241933,12966047288,516665,227874,247
