exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,spinloop_duration,cache-misses,L1-dcache-load-misses,L1-dcache-loads,mem_load_retired.l1_miss,dTLB-load-misses,dTLB-store-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d.replacement,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,context-switches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.001239261,,694,9597,136247,3918,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,1,dram,,,,0.817431042,,1950018,50705840,409700786,916150,1216,13822,675807,475644,1534578,2133035,52313117,49432025,14279926,110896558,0,1051,0,0,14846,541326071,8,3168537094,4751395346,98751,102900,0
membench_pregen_init,1,dram,,,,1.323500035,,2601455,70404105,713092587,414713,1175,51495,942046,1095674,2067169,2871209,69262944,67481820,19456967,150543386,0,1398,0,0,21835,949035218,10,5135350668,8180171919,137599,132032,0
membench_base,1,pmem,,,,0.000708910,,517,10142,137595,4079,0,,,,,,,,,,,,,,,,,,,,,
membench_data_init,1,pmem,,,,1.861848008,,1939972,51242498,412449584,345380,1322,3668,105060,245492,7517,2120496,50727540,68528329,18009421,637799623,0,7151,4788,0,37367,542782942,5,7206683031,4711345885,99773,1623,0
membench_pregen_init,1,pmem,,,,2.758966733,,2642863,69781995,720205210,465618,1551,5067,140287,331471,11303,2911987,70549746,96216631,25187929,878620011,0,7574,7160,0,35894,958693984,6,10688934767,8200448039,136751,2855,0
membench,1,dram,seq,0,51576.941406,4.757295270,0.000015,102553624,170838187,4590537091,758122,2923,23044,168796,432884,2018223,2852163,169231418,211680801,156696351,147125632,0,1441,8693,0,41374,4050845957,39,18436512929,23031574159,150207,144584,0
membench,1,dram,pgn,0,10501.033203,12.346593336,0.000015,107332048,177884386,5022780172,98785556,9613,49429,98041034,100462901,2027035,2943671,175905947,31553634539,31285272685,149337141,0,1398,25,0,69086,4341990995,89,47916406050,22928341556,97004067,97001589,0
membench,1,dram,rnd,0,10275.305664,12.527090956,0.000015,101028792,172290833,5023513261,100251614,14302,72574,98696881,101098471,2057620,2927694,169463088,31304962719,31264577144,148740267,0,1396,81,0,100383,4548149268,96,48587553845,25486641170,98563349,98566413,0
membench,1,dram,seq_prefetch,0,51008.175781,4.758395818,0.000015,103326640,170594842,4697513032,566565,2539,23410,157744,427000,2017983,2875271,168769711,307671522,251851658,146792134,100756255,1430,8679,0,48256,4046619827,36,18448573801,23118160675,143345,139673,0
membench,1,dram,pgn_prefetch,0,21259.787109,7.524925955,0.000015,107135675,177842889,5112001011,745769,9694,38379,1067867,1231114,2053851,2861906,175046176,13204856818,13151926785,148520954,100357414,1385,31,0,55007,4346533430,59,29202670744,23061181487,198511,190076,0
membench,1,dram,rnd_prefetch,0,19917.619141,7.819894382,0.000015,100828129,171493095,5109043575,661365,11102,40764,1008345,1176034,2041415,2882927,169228082,13736192523,13681841779,148521754,100368264,1378,31,0,55276,4544660111,62,30343410670,25570479419,141428,138613,0
membench,1,pmem,seq,0,24686.378906,8.305292196,0.000015,103322051,171753713,4611786595,2516861,2500,10749,155039,652168,13693,3003959,170449889,8633665580,8544377529,881093732,6,8967,0,0,68493,4074147281,18,32194859282,23061321153,194401,3407,0
membench,1,pmem,pgn,0,1951.995605,55.490566307,0.000015,109143421,179791084,5032149069,100709940,26795,74955,161732,100410685,15833,3057044,181498322,193171468479,193064101170,900458829,0,2768,12,0,302338,4340923271,51,215506904379,23016895754,97265708,10990,0
membench,1,pmem,rnd,0,1934.756348,55.816908616,0.000015,100956474,172698495,5026416500,103064139,24650,74909,967948,100637134,19692,3026697,174545154,194203080799,194124940208,811204190,0,6545,12,0,323780,4534617359,42,216892567064,25413337028,98457416,3106,0
membench,1,pmem,seq_prefetch,0,24031.621094,8.393907581,0.000015,104951853,171665757,4706624751,656386,1935,10916,152180,571428,15699,3018178,170743506,9099615140,9006613532,886995229,99838873,17549,0,0,71390,4066190634,17,32569093223,23204832846,405723,7002,0
membench,1,pmem,pgn_prefetch,0,3623.474854,31.845531157,0.000015,107102649,177674498,5124495524,1539192,24107,34440,174722,407696,12926,2992159,180186890,102311521459,101947668140,877202940,100035468,13350,0,0,163896,4344765434,39,123769393130,23110240706,181418,9123,0
membench,1,pmem,rnd_prefetch,0,3597.494873,31.907405726,0.000015,100799068,173615043,5138843767,3088136,20352,34449,167291,363960,14564,2926742,172220069,102129253902,102149775353,807062337,100159025,12515,0,0,175745,4537275203,47,123954299206,25577276747,146761,8622,0
membench,1,dram,seq,500,51344.429688,17.847626828,0.000146,102745522,171121814,4624418650,1214082,2517,36818,234823,710421,2061388,2922411,169587374,166202755,132385846,148769836,0,1377,0,0,100644151,54102275073,124,69291121684,123123643019,193175,177020,0
membench,1,dram,pgn,500,10492.222656,25.408585212,0.000146,107352184,180069467,5048356935,102745974,10076,51495,98336908,100469400,2078726,2922109,175995540,31434197182,31338376853,148592793,0,1381,31,0,100249271,54389261663,189,98673832806,123014100621,98591570,98563220,0
membench,1,dram,rnd,500,10253.940430,25.649887078,0.000146,101018083,172844339,5034715016,100999985,10105,89112,98271776,100374684,2089138,2897874,169975971,31444111681,31414613869,148906351,0,1382,0,0,100211396,54579509469,186,99606600012,125591762769,98432033,98404026,0
membench,1,dram,seq_prefetch,500,51204.328125,17.821417095,0.000145,103288823,171781090,4729240974,1005765,2967,39391,1038835,1525024,2066290,2942239,170382173,150942240,65938237,149863178,100123097,1370,0,0,100248691,54114363727,134,69207145234,123153059843,169433,153877,0
membench,1,dram,pgn_prefetch,500,41152.011719,18.297301875,0.000145,108945461,181538622,5139065023,1173888,13035,43575,329150,465249,2077998,2908517,176344719,2038829250,1975000703,149580878,100132740,1399,62,0,100209212,54393168511,145,71056629439,123114501679,277110,504005,0
membench,1,dram,rnd_prefetch,500,38280.984375,18.509139315,0.000146,100814681,172429366,5139892812,2719985,12035,74752,215572,351243,2062102,2891797,170034650,1967966619,1906468132,148852360,100113997,1394,0,0,100232377,54603335262,137,71891467279,125668212448,164873,142461,0
membench,1,pmem,seq,500,47943.210938,19.426181561,0.000146,102708394,171156487,4622950752,1330032,1568,22127,1015830,1608753,18885,2984378,172603716,756177842,634320995,872036053,0,6608,0,0,100461570,54228127065,21,75421352421,123331693881,174259,3184,0
membench,1,pmem,pgn,500,2012.353027,66.989617115,0.000145,109087224,179366591,5031099817,102661497,18922,84943,165333,100408741,14659,3035699,180574609,187368034843,187238135727,886068682,0,18396,0,0,100477821,54377712130,53,260394596752,123070279270,99134571,10807,0
membench,1,pmem,rnd,500,2005.865112,67.043984486,0.000146,100926664,173740652,5044544372,102610951,22249,87643,162179,100285901,17633,2926027,176102615,187673655031,187290197289,810951645,0,6078,0,0,100461787,54577959596,61,260562192586,125587865253,98406496,3972,0
membench,1,pmem,seq_prefetch,500,39562.769531,19.839124114,0.000146,103360259,170230131,4712515939,1085807,2380,22237,158719,722971,26116,2998690,174709424,2871931405,2366675556,880446739,100045375,10131,0,0,100257823,54096330459,22,77027956472,123281097962,149914,5746,0
membench,1,pmem,pgn_prefetch,500,4782.936035,38.203390377,0.000145,107871815,181061289,5136289982,3524389,21512,41008,172592,492254,14287,2960680,179459170,75989485259,75850112595,890944923,99985719,8344,0,0,100337420,54406882544,66,148476482903,123216784124,263138,11446,0
membench,1,pmem,rnd_prefetch,500,4728.107422,38.348413152,0.000146,100749031,172402486,5134051743,1714274,35707,41043,172195,373512,17999,2909799,171977138,76641147773,76284215995,805179545,100032420,6150,0,0,100322358,54604275019,81,149056070821,125743089784,148589,8771,0
