exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench,1,dram,seq,0,60294.066406,4.481023087,103291981,170899012,4307900251,159725,387464,2074903,2834559,232456988,176874226,169551409,147969675,0,1383,0,0,36925,3952933639,17386599338,22235442063,610709,695190,0
membench,1,dram,pgn,0,10423.247070,12.383288230,107274692,176936683,4609066648,98531063,100674574,2062226,2939588,31303126066,31209352428,176299703,144558724,0,1394,0,0,85842,4260302065,48070743968,22199509107,98871990,98421215,0
membench,1,dram,rnd,0,10269.848633,12.546248049,100848107,170303489,4715216058,98387598,100658160,2129349,2985515,31284162732,31215761709,169687774,148083653,0,1447,7280,0,80893,4455161055,48713414665,24771381089,98300635,98293027,0
membench,1,dram,seq_prefetch,0,58240.371094,4.532720831,103034036,170196305,4424431319,152985,385458,2034470,2827370,258395198,203071767,169686269,144668191,99735881,1434,7686,0,36045,4049274187,17604190763,22593180708,143494,139065,0
membench,1,dram,pgn_prefetch,0,21812.257812,7.381435250,108304317,177065445,4710746861,204461,344865,2119498,2857312,12707136466,12652795741,176141624,147582042,100132780,1405,0,0,46438,4349966441,28663245560,22430206433,736998,741507,0
membench,1,dram,rnd_prefetch,0,20293.277344,7.732134688,102200107,170727380,4814102830,154750,301515,2055972,2857699,13303360560,13251894242,170101866,145554291,100008693,1389,0,0,45321,4551062372,30032015527,25035564322,728894,731798,0
membench,1,pmem,seq,0,34358.085938,5.953742546,103056956,170565678,4310024419,159996,501558,22955,2966555,5173606844,5112114835,170412901,153723474,10,4305,2418,0,63643,3955366466,23123823531,22125232224,203202,137495,58591
membench,1,pmem,pgn,0,2421.057129,44.336088637,107766146,178665122,4630728879,263780,100328223,82465,3042446,154548480124,154443064872,179930134,151982331,5,4871,0,0,163751,4227641844,172355050721,21955461977,99100727,707886,98316321
membench,1,pmem,rnd,0,2418.172852,44.380289472,101049551,172045057,4727520322,252608,100274929,86129,3053857,154241686650,153917975163,175856842,149323216,0,1761,0,0,150795,4425231829,172520637729,24535113664,98450957,131808,98253440
membench,1,pmem,seq_prefetch,0,34883.898438,5.901691179,103560028,171705032,4406969324,885241,1176638,22742,3007191,4782799283,4729709154,170562503,147415702,99688377,3253,0,0,45096,4051162959,22924706782,22468666402,147184,139210,0
membench,1,pmem,pgn_prefetch,0,4543.112793,25.033320569,107189394,178128067,4721085137,222881,421706,56022,2960306,80343447066,80257311503,181341688,151797524,99829138,5407,0,0,116915,4328900709,97305238751,22210059103,192645,138711,13692
membench,1,pmem,rnd_prefetch,0,4482.436523,25.327346889,100848771,171337336,4828771551,215934,361202,55805,3010209,80597573056,80529567435,172270315,147433492,100026521,5573,0,0,127732,4535909370,98459241528,24881679915,728349,681055,666
